Employee_ID,Department,Location,Exit_Date,Experience_Years
E01535,HR,Tokyo,2025-01-23,2
E01557,HR,Toronto,2024-07-26,2
E01560,Finance,Toronto,2025-10-28,4
E01573,R&D,Singapore,2025-10-25,0
E01577,Sales,Singapore,2018-08-01,9
E01579,Finance,London,2019-08-10,8
E01582,IT,New York,2024-04-10,6
E01598,IT,New York,2024-01-26,4
E01604,HR,Sydney,2025-06-16,0
E01615,Sales,Singapore,2024-08-27,7
E01646,IT,New York,2018-09-07,9
E01651,Sales,New York,2024-06-24,2
E01656,Operations,Berlin,2025-08-08,0
E01657,IT,Tokyo,2023-08-24,4
E01658,Marketing,Singapore,2019-01-24,9
E01663,Finance,London,2022-05-15,4
E01665,Marketing,Tokyo,2025-01-17,9
E01678,Sales,Tokyo,2022-04-19,8
E01684,HR,London,2024-07-12,7
E01702,Sales,Tokyo,2020-05-19,8
E01705,Marketing,London,2023-07-16,7
E01715,IT,London,2024-12-08,6
E01731,Operations,Tokyo,2017-12-15,9
E01732,Sales,Singapore,2018-09-27,10
E01739,Finance,Tokyo,2025-04-27,10
E01744,HR,Tokyo,2022-09-10,5
E01748,Sales,Tokyo,2025-03-28,5
E01761,Finance,Berlin,2025-11-30,2
E01762,Sales,Sydney,2025-10-28,8
E01781,Sales,Toronto,2025-07-03,0
E01790,IT,Singapore,2023-10-20,4
E01797,Finance,Tokyo,2019-09-20,9
E01800,Finance,New York,2025-03-27,1
E01812,IT,Singapore,2024-04-20,10
E01814,IT,Sydney,2025-05-07,9
E01816,Finance,Singapore,2025-02-28,2
E01818,Sales,New York,2018-03-16,10
E01823,IT,Sydney,2016-02-02,10
E01848,Operations,Singapore,2025-08-01,10
E01856,R&D,Tokyo,2020-10-24,7
E01860,Operations,London,2021-03-30,7
E01865,Operations,Tokyo,2023-06-17,7
E01866,Operations,Sydney,2025-11-17,7
E01877,Operations,Tokyo,2022-02-26,10
E01882,Marketing,Singapore,2025-08-08,1
E01884,R&D,Sydney,2022-08-20,7
E01911,Finance,Toronto,2023-07-05,5
E01912,Operations,Berlin,2025-04-14,1
E01918,Operations,Singapore,2025-09-27,9
E01922,HR,Sydney,2021-09-06,10
E01923,HR,Tokyo,2022-06-23,5
E01946,R&D,Tokyo,2021-02-02,8
E01963,IT,Sydney,2023-07-25,4
E01965,Sales,Toronto,2023-01-13,9
E01986,IT,Tokyo,2024-07-12,7
E01987,HR,Sydney,2023-06-05,6
E01989,Marketing,Sydney,2024-09-25,10
E01995,Sales,Toronto,2025-04-28,1
E02002,IT,Sydney,2024-11-24,8
E02004,Sales,Sydney,2024-02-26,9
E02016,Marketing,New York,2022-08-08,5
E02018,Operations,Toronto,2025-01-01,1
E02019,Sales,Sydney,2025-02-21,1
E02022,IT,Berlin,2025-10-05,2
E02023,Marketing,London,2025-03-22,1
E02026,IT,Singapore,2025-01-30,2
E02031,R&D,Tokyo,2024-11-17,5
E02040,R&D,Berlin,2021-09-07,5
E02042,Finance,Singapore,2022-06-12,4
E02048,HR,Toronto,2025-03-06,2
E02051,Finance,Singapore,2020-11-11,9
E02061,Finance,Tokyo,2022-05-30,9
E02069,Finance,New York,2018-06-05,10
E02096,HR,Toronto,2023-02-09,9
E02099,Marketing,New York,2024-04-12,5
E02108,Marketing,New York,2025-08-13,3
E02111,HR,Tokyo,2024-02-11,5
E02112,IT,Sydney,2021-07-21,9
E02113,IT,New York,2022-08-08,4
E02115,Sales,Berlin,2025-08-07,0
E02116,HR,Singapore,2022-10-25,10
E02118,Operations,Berlin,2023-09-26,6
E02142,Operations,Berlin,2025-08-16,3
E02145,HR,Singapore,2025-03-28,2
E02151,R&D,London,2025-03-15,2
E02156,Marketing,Tokyo,2025-06-24,1
E02172,HR,Singapore,2025-09-06,2
E02173,Operations,Tokyo,2023-11-28,3
E02180,Sales,Toronto,2019-04-25,10
E02182,HR,Tokyo,2024-10-07,3
E02192,IT,Sydney,2025-09-08,2
E02198,R&D,Berlin,2024-05-20,4
E02199,Sales,Toronto,2024-05-18,7
E02207,Marketing,Sydney,2018-04-23,8
E02211,IT,London,2025-10-21,3
E02231,IT,New York,2020-04-28,8
E02234,IT,London,2025-07-24,1
E02240,Marketing,Berlin,2022-04-21,4
E02246,Sales,Singapore,2020-03-10,7
E02247,HR,Tokyo,2019-05-20,7
E02250,IT,London,2020-06-01,7
E02252,HR,Tokyo,2018-06-26,10
E02270,Marketing,Tokyo,2023-11-16,8
E02271,HR,Sydney,2025-05-24,1
E02303,Operations,Singapore,2024-01-03,9
E02312,IT,Singapore,2025-09-14,4
E02338,Finance,Tokyo,2017-11-27,10
E02362,HR,London,2024-11-11,5
E02363,Sales,Sydney,2022-01-23,9
E02369,Finance,Tokyo,2025-04-26,0
E02374,Finance,Toronto,2019-12-04,10
E02384,IT,Sydney,2024-03-07,5
E02402,Finance,New York,2018-06-23,10
E02409,Marketing,Singapore,2024-08-01,8
E02416,HR,Berlin,2019-01-12,7
E02417,Sales,Berlin,2023-06-06,3
E02427,R&D,Berlin,2023-03-26,3
E02435,Marketing,Tokyo,2020-11-04,9
E02456,Marketing,London,2022-03-04,4
E02466,Operations,London,2022-06-17,7
E02497,Marketing,Toronto,2020-05-05,6
E02499,IT,Toronto,2025-02-19,0
E02502,HR,London,2025-12-08,1
E02505,Finance,Tokyo,2025-12-16,0
E02509,IT,Toronto,2025-08-24,1
E02521,HR,Sydney,2025-11-03,0
E02529,Sales,London,2019-12-24,7
E02543,HR,New York,2025-04-22,1
E02545,Operations,Berlin,2022-09-22,8
E02546,R&D,Singapore,2025-05-07,7
E02550,Finance,Toronto,2021-02-04,10
E02551,Marketing,New York,2025-02-12,0
E02569,R&D,Sydney,2023-08-30,10
E02580,Sales,London,2025-05-30,3
E02585,HR,Singapore,2024-08-11,3
E02590,HR,New York,2016-06-19,10
E02596,Sales,Tokyo,2018-08-24,8
E02599,Sales,Tokyo,2022-07-12,8
E02609,Finance,Sydney,2024-08-15,8
E02626,Finance,New York,2017-10-16,10
E02640,Operations,New York,2023-10-07,5
E02650,HR,Tokyo,2025-08-08,4
E02662,Operations,Singapore,2025-01-17,8
E02675,Operations,Berlin,2025-08-16,7
E02679,Finance,Toronto,2025-01-09,1
E02684,R&D,Singapore,2020-03-23,7
E02697,R&D,Sydney,2025-06-07,0
E02699,Operations,Toronto,2025-03-04,6
E02705,IT,Singapore,2019-08-09,8
E02718,Finance,Berlin,2025-06-11,2
E02725,HR,Toronto,2023-08-05,7
E02728,Marketing,Singapore,2025-08-15,2
E02729,Sales,Sydney,2025-10-22,5
E02731,Operations,Sydney,2025-09-17,8
E02743,Marketing,Toronto,2019-04-07,9
E02755,R&D,Singapore,2019-02-26,10
E02759,R&D,Toronto,2021-10-25,7
E02773,Sales,Tokyo,2021-08-28,6
E02794,Finance,Singapore,2021-06-08,10
E02796,Sales,London,2024-09-11,6
E02805,Sales,Tokyo,2025-08-12,0
E02811,Sales,London,2025-05-02,9
E02818,Sales,Sydney,2025-12-17,0
E02820,Finance,Berlin,2023-11-18,9
E02830,IT,London,2023-11-12,10
E02836,Marketing,New York,2020-07-07,8
E02848,Operations,London,2022-09-17,4
E02854,Operations,New York,2024-05-18,2
E02857,R&D,London,2021-09-04,8
E02863,Finance,Sydney,2022-03-08,4
E02869,Finance,London,2022-08-19,6
E02872,Sales,Tokyo,2023-09-15,6
E02874,Operations,Singapore,2024-08-05,4
E02878,Finance,Singapore,2020-02-28,7
E02879,Sales,Singapore,2024-01-09,8
E02888,R&D,Tokyo,2019-01-27,9
E02889,Marketing,Toronto,2019-06-08,8
E02893,IT,Berlin,2020-05-28,6
E02908,Finance,Toronto,2025-09-25,8
E02912,R&D,Sydney,2022-10-09,6
E02915,HR,Tokyo,2019-06-05,10
E02923,Marketing,Singapore,2024-06-25,6
E02938,Operations,Tokyo,2025-12-14,1
E02945,Sales,New York,2024-09-14,6
E02959,Operations,Singapore,2022-03-08,7
E02967,IT,Sydney,2023-01-30,6
E02970,Operations,Sydney,2022-11-28,10
E02973,R&D,Sydney,2025-03-15,1
E02984,Finance,Singapore,2025-12-05,1
E03012,Operations,Sydney,2025-04-09,1
E03014,Finance,Singapore,2023-06-20,3
E03033,Marketing,New York,2020-02-01,6
E03038,IT,New York,2019-12-13,8
E03053,Operations,London,2025-01-01,0
E03055,HR,Sydney,2021-06-11,9
E03061,R&D,New York,2025-08-07,0
E03072,Sales,Berlin,2024-09-22,6
E03075,Sales,Sydney,2022-07-04,7
E03081,R&D,London,2024-10-28,6
E03091,HR,London,2024-01-11,4
E03092,R&D,New York,2025-11-28,6
E03103,Operations,Sydney,2025-08-10,3
E03126,IT,Berlin,2021-06-26,5
E03143,HR,Berlin,2025-10-06,0
E03147,Operations,Sydney,2025-05-30,0
E03155,IT,Berlin,2021-12-05,5
E03165,HR,Tokyo,2025-05-15,10
E03169,Sales,New York,2025-04-11,0
E03198,Sales,Toronto,2021-03-02,6
E03209,Operations,Toronto,2022-02-05,6
E03222,Operations,New York,2024-01-14,4
E03226,HR,Berlin,2016-11-21,10
E03228,Marketing,Sydney,2025-01-28,1
E03247,HR,Toronto,2021-05-08,7
E03258,R&D,Singapore,2025-06-13,1
E03265,R&D,New York,2025-12-28,9
E03284,Marketing,Tokyo,2023-10-04,3
E03294,Marketing,Sydney,2025-12-20,0
E03310,Operations,London,2025-08-29,1
E03321,Marketing,Sydney,2025-02-05,0
E03322,IT,Tokyo,2024-04-13,3
E03325,R&D,Berlin,2024-09-29,7
E03337,Operations,Toronto,2025-01-17,3
E03340,Operations,Sydney,2023-05-23,3
E03361,HR,Berlin,2025-06-29,2
E03377,Finance,Tokyo,2018-12-29,10
E03383,Sales,Singapore,2021-07-29,6
E03384,Operations,Sydney,2024-10-17,9
E03386,Operations,Singapore,2022-12-20,4
E03390,IT,New York,2022-01-23,6
E03393,R&D,Singapore,2024-04-03,2
E03396,R&D,Sydney,2023-03-14,3
E03403,Operations,Berlin,2024-10-30,2
E03409,Finance,Sydney,2025-10-17,0
E03411,Operations,Tokyo,2022-08-02,7
E03417,Sales,Berlin,2025-01-15,4
E03420,Operations,London,2017-03-15,10
E03424,Marketing,London,2021-10-09,9
E03425,Marketing,Singapore,2023-09-28,4
E03448,Finance,New York,2023-11-05,10
E03452,HR,Toronto,2020-01-06,8
E03459,Operations,Berlin,2025-11-24,2
E03462,HR,Singapore,2022-12-15,5
E03490,Operations,Berlin,2025-07-09,0
E03492,R&D,New York,2024-09-06,2
E03506,Operations,New York,2018-01-01,10
E03510,Operations,Tokyo,2022-07-13,4
E03515,Finance,New York,2018-11-07,8
E03518,Finance,Toronto,2024-06-16,5
E03528,IT,Sydney,2025-09-05,2
E03547,HR,London,2018-11-09,9
E03555,Operations,Berlin,2024-01-06,8
E03567,Sales,Singapore,2025-07-17,0
E03573,IT,Berlin,2020-07-02,7
E03579,R&D,Toronto,2024-02-24,3
E03593,Operations,New York,2017-06-26,9
E03604,R&D,New York,2025-11-25,6
E03605,HR,Toronto,2025-05-01,6
E03607,Sales,Tokyo,2020-07-19,9
E03608,IT,Sydney,2021-01-19,9
E03612,Operations,Singapore,2024-03-29,10
E03619,Sales,Berlin,2025-06-20,4
E03633,Marketing,London,2025-06-26,0
E03644,IT,New York,2023-10-10,9
E03648,HR,New York,2021-04-04,9
E03652,Sales,Toronto,2024-02-10,4
E03654,Operations,Toronto,2025-02-01,1
E03667,Marketing,Sydney,2025-11-26,0
E03679,Finance,Berlin,2024-04-29,8
E03683,Marketing,Tokyo,2023-01-28,5
E03688,Finance,Toronto,2021-05-15,6
E03701,Operations,Berlin,2021-06-06,10
E03717,Operations,Singapore,2025-07-30,3
E03724,R&D,Sydney,2023-01-04,4
E03729,Sales,Singapore,2024-04-17,2
E03736,Sales,London,2022-08-23,5
E03740,IT,Tokyo,2025-03-09,0
E03761,Finance,London,2022-08-08,5
E03764,R&D,Berlin,2021-12-18,5
E03776,IT,London,2025-02-11,5
E03787,Operations,New York,2023-07-15,4
E03798,Operations,Toronto,2023-11-18,5
E03813,IT,Sydney,2019-08-02,9
E03824,R&D,London,2024-10-26,5
E03854,Operations,Sydney,2022-10-13,4
E03857,Sales,Toronto,2021-11-15,7
E03862,Sales,New York,2024-06-14,2
E03872,IT,London,2024-07-19,3
E03877,Operations,Toronto,2021-01-22,6
E03883,Marketing,Singapore,2023-05-15,6
E03914,Operations,Toronto,2021-01-27,6
E03915,Sales,Sydney,2024-06-12,3
E03919,Marketing,Tokyo,2023-11-05,9
E03921,Marketing,London,2024-02-11,6
E03933,HR,Sydney,2025-09-03,5
E03942,Sales,Sydney,2025-11-21,0
E03947,Sales,Toronto,2023-09-18,9
E03973,Sales,Berlin,2024-08-31,4
E03977,Finance,Berlin,2018-07-24,8
E03985,R&D,New York,2023-01-12,4
E03986,IT,Tokyo,2019-10-04,8
E03991,R&D,Singapore,2019-03-28,8
E03992,Operations,Berlin,2020-09-27,6
E03994,Finance,New York,2020-04-10,10
E04029,Finance,New York,2022-07-21,6
E04033,Finance,Berlin,2022-12-03,9
E04042,Operations,Toronto,2025-01-21,0
E04060,Sales,Sydney,2025-04-22,3
E04070,IT,Sydney,2023-09-23,5
E04071,R&D,Sydney,2025-05-22,2
E04096,IT,Singapore,2022-11-23,10
E04099,IT,Sydney,2022-01-10,7
E04102,HR,Sydney,2024-12-30,2
E04106,IT,Tokyo,2025-02-27,1
E04120,Finance,Berlin,2025-10-12,2
E04125,Sales,Sydney,2021-08-25,7
E04127,Operations,New York,2020-08-19,10
E04130,HR,Tokyo,2022-07-19,7
E04147,HR,Berlin,2024-03-12,8
E04150,Sales,Singapore,2019-08-20,7
E04154,Marketing,Toronto,2024-10-21,5
E04162,Finance,Sydney,2020-01-22,8
E04176,R&D,New York,2021-12-15,5
E04178,HR,Singapore,2025-10-09,7
E04199,Operations,Singapore,2025-01-28,2
E04218,IT,Sydney,2018-04-08,10
E04226,Marketing,Toronto,2024-05-30,3
E04228,Finance,Berlin,2025-07-11,0
E04231,Finance,Berlin,2019-05-18,8
E04235,Finance,Singapore,2022-03-03,8
E04252,Finance,London,2025-11-18,2
E04261,Sales,Berlin,2025-01-10,0
E04264,Sales,Singapore,2023-06-18,4
E04272,Sales,New York,2025-01-18,0
E04275,R&D,Toronto,2020-07-06,6
E04279,IT,New York,2022-03-19,5
E04281,Finance,Toronto,2024-06-05,8
E04283,IT,New York,2022-03-09,6
E04311,IT,Toronto,2025-12-13,9
E04314,HR,Sydney,2025-06-14,6
E04315,Operations,London,2021-09-14,5
E04322,Operations,London,2025-02-23,9
E04355,HR,London,2019-02-14,9
E04373,Operations,Singapore,2025-01-03,4
E04379,IT,Berlin,2023-10-05,3
E04398,Operations,New York,2018-05-03,9
E04409,HR,New York,2024-08-09,2
E04411,HR,Toronto,2023-01-09,4
E04413,R&D,Tokyo,2022-12-27,4
E04426,IT,Toronto,2024-11-20,2
E04444,R&D,London,2020-10-13,8
E04447,Finance,Toronto,2025-01-16,1
E04461,HR,New York,2025-07-26,1
E04464,Marketing,Sydney,2025-04-19,5
E04466,Sales,Berlin,2024-08-28,5
E04469,R&D,Singapore,2025-06-10,3
E04491,Sales,Tokyo,2024-01-18,3
E04496,Operations,Toronto,2024-10-07,6
E04503,R&D,New York,2025-03-02,0
E04512,Sales,Singapore,2025-05-06,5
E04517,R&D,Toronto,2024-10-29,10
E04524,Sales,Toronto,2025-01-18,1
E04525,R&D,Tokyo,2023-06-02,4
E04526,Sales,Tokyo,2025-09-12,2
E04528,Sales,London,2025-06-09,1
E04532,Operations,Tokyo,2022-04-15,5
E04548,Finance,London,2021-11-13,8
E04574,Marketing,Tokyo,2025-03-10,2
E04577,R&D,Singapore,2025-03-17,7
E04578,HR,Sydney,2025-10-07,3
E04590,R&D,Sydney,2018-03-16,10
E04618,Marketing,Sydney,2020-08-14,7
E04622,Sales,Singapore,2025-08-04,7
E04626,Finance,New York,2025-11-08,3
E04637,Marketing,London,2025-12-20,2
E04647,HR,Singapore,2025-09-12,0
E04650,HR,Toronto,2021-11-03,9
E04655,HR,Singapore,2025-11-22,3
E04662,Operations,New York,2024-09-16,2
E04671,Operations,Sydney,2021-10-23,8
E04679,Finance,London,2025-01-26,0
E04680,Sales,London,2023-05-15,3
E04686,Operations,London,2019-03-11,7
E04689,Marketing,Tokyo,2022-08-27,10
E04703,Operations,Singapore,2024-12-02,9
E04712,IT,New York,2023-03-02,4
E04719,Finance,Berlin,2017-03-15,9
E04735,Marketing,Tokyo,2024-02-19,2
E04746,Sales,London,2021-01-29,5
E04756,Finance,Toronto,2022-11-11,6
E04760,IT,Singapore,2025-10-04,1
E04766,Operations,Berlin,2019-03-12,9
E04774,HR,Singapore,2023-12-12,6
E04782,Finance,New York,2023-06-22,3
E04788,Finance,Tokyo,2025-08-14,8
E04794,Operations,Toronto,2020-02-22,10
E04796,Marketing,Berlin,2020-02-16,6
E04798,HR,Toronto,2024-05-25,5
E04802,IT,Berlin,2025-11-05,1
E04804,R&D,Tokyo,2025-11-24,0
E04825,Finance,Singapore,2023-04-20,8
E04826,R&D,Tokyo,2025-09-03,3
E04831,Marketing,Tokyo,2023-11-23,6
E04833,HR,Sydney,2025-09-30,10
E04834,IT,Tokyo,2025-01-18,8
E04855,IT,New York,2021-12-23,5
E04862,Finance,Toronto,2024-05-28,6
E04883,Operations,Singapore,2024-08-10,7
E04886,Sales,Tokyo,2024-01-22,2
E04914,Finance,Berlin,2024-03-07,3
E04919,Finance,Toronto,2020-01-05,7
E04921,Operations,Toronto,2023-03-10,3
E04922,Marketing,Tokyo,2024-05-12,3
E04925,Finance,Singapore,2025-12-10,3
E04965,Marketing,Tokyo,2023-01-30,9
E04970,HR,Berlin,2024-12-30,7
E04980,IT,Sydney,2025-01-28,0
E04986,R&D,London,2024-08-28,4
E04987,Finance,New York,2025-11-30,2
E04991,Marketing,Singapore,2021-11-11,10
E04993,IT,Toronto,2024-09-26,7
E04997,R&D,New York,2024-12-10,7
E05005,R&D,Toronto,2024-06-23,5
E05013,Operations,Singapore,2025-04-05,8
E05025,HR,Tokyo,2022-04-25,5
E05028,Sales,Singapore,2024-05-14,3
E05057,HR,Berlin,2025-10-30,0
E05078,HR,Singapore,2024-12-29,6
E05079,Sales,Toronto,2023-01-10,3
E05083,HR,Sydney,2024-11-07,4
E05084,Finance,Tokyo,2025-07-05,1
E05085,Marketing,Sydney,2024-09-30,5
E05086,IT,New York,2025-08-21,10
E05092,R&D,New York,2019-08-06,9
E05101,Finance,New York,2025-09-12,5
E05122,Sales,Singapore,2025-11-04,1
E05126,Sales,Singapore,2022-05-30,5
E05129,Sales,Toronto,2024-01-05,5
E05134,Finance,Berlin,2025-09-16,10
E05139,R&D,London,2024-02-23,2
E05159,R&D,Toronto,2025-09-22,2
E05179,Sales,London,2024-02-16,10
E05218,Marketing,London,2020-03-25,7
E05235,Operations,London,2025-12-07,1
E05238,HR,Toronto,2021-05-17,9
E05245,Finance,New York,2025-03-19,1
E05263,Finance,Toronto,2024-08-19,2
E05264,R&D,Singapore,2020-04-28,8
E05267,Sales,Toronto,2024-11-08,3
E05272,HR,Tokyo,2025-04-27,1
E05276,IT,Berlin,2025-05-12,8
E05279,Finance,New York,2025-06-06,2
E05285,Marketing,Tokyo,2024-07-16,9
E05286,R&D,Tokyo,2023-03-12,6
E05308,Sales,New York,2023-07-16,8
E05315,R&D,Singapore,2024-03-03,4
E05320,Marketing,Sydney,2024-03-27,2
E05336,Marketing,Toronto,2025-05-31,1
E05343,R&D,Sydney,2025-05-02,0
E05354,Sales,Berlin,2025-01-14,0
E05358,R&D,Tokyo,2023-12-03,3
E05361,IT,Berlin,2024-03-24,5
E05365,R&D,Sydney,2017-01-15,9
E05389,HR,Berlin,2025-01-31,1
E05403,Finance,Singapore,2019-12-15,10
E05412,Operations,Toronto,2024-11-17,6
E05414,Sales,New York,2022-12-30,5
