Employee_ID,Gender,Age,Department,Job_Level,Hire_Date,Termination_Date,Status,Location
E00104,M,43,Marketing,3,2024-02-15,,Active,Singapore
E00105,F,53,HR,6,2023-09-09,2024-08-12,Resigned,Toronto
E00106,F,28,IT,6,2022-04-26,2024-01-09,Resigned,Singapore
E00107,F,31,HR,4,2018-06-20,,Active,Berlin
E00108,M,37,IT,4,2022-11-16,,Active,Sydney
E00109,O,22,HR,3,2022-10-10,,Active,Tokyo
E00110,F,49,HR,3,2019-06-23,,Active,Sydney
E00111,F,58,IT,4,2020-08-26,,Active,London
E00112,F,25,IT,6,2024-11-20,,Active,Sydney
E00113,F,38,Finance,2,2025-12-07,,Active,Toronto
E00114,F,59,Sales,1,2020-05-26,,Active,Tokyo
E00115,O,30,Marketing,2,2023-01-17,,Active,London
E00116,F,52,Sales,3,2019-05-21,,Active,London
E00117,M,47,Finance,2,2023-11-14,,Active,Singapore
E00118,O,38,IT,3,2024-02-01,,Active,Tokyo
E00119,F,42,IT,5,2024-06-17,2025-12-13,Terminated,Sydney
E00120,M,53,IT,3,2016-06-27,2025-03-30,Resigned,New York
E00121,O,48,R&D,5,2024-03-02,,Active,Toronto
E00122,F,24,Operations,3,2020-02-20,2024-06-15,Resigned,Tokyo
E00123,O,47,R&D,1,2019-01-08,2020-04-01,Terminated,Berlin
E00124,M,37,IT,3,2017-04-09,,Active,Singapore
E00125,M,43,Operations,2,2017-02-28,,Active,London
E00126,M,33,Finance,3,2016-10-30,,Active,Sydney
E00127,F,59,Sales,2,2020-07-16,2023-01-03,Resigned,Singapore
E00128,M,50,R&D,4,2020-06-08,,Active,New York
E00129,M,55,Operations,6,2019-06-01,,Active,New York
E00130,F,53,Marketing,1,2022-08-04,2023-08-10,Terminated,Toronto
E00131,M,59,HR,6,2023-07-21,,Active,Sydney
E00132,F,28,Operations,4,2016-04-20,,Active,Sydney
E00133,F,51,Finance,3,2021-02-25,,Active,Tokyo
E00134,F,31,R&D,3,2025-07-09,,Active,Berlin
E00135,M,45,Marketing,6,2017-06-04,,Active,New York
E00136,F,44,R&D,4,2025-08-07,,Active,New York
E00137,O,58,HR,1,2023-07-28,2025-07-11,Resigned,Berlin
E00138,F,58,IT,3,2018-05-05,,Active,Singapore
E00139,O,39,R&D,6,2015-02-16,2020-04-20,Terminated,Singapore
E00140,M,26,Operations,4,2017-10-13,,Active,Toronto
E00141,M,43,Marketing,4,2017-11-26,,Active,Tokyo
E00142,M,25,Finance,5,2025-04-20,2025-06-19,Terminated,Singapore
E00143,F,54,Marketing,2,2016-04-02,,Active,Berlin
E00144,F,24,Operations,3,2018-03-15,,Active,Toronto
E00145,M,38,HR,2,2019-06-01,,Active,London
E00146,M,36,Finance,5,2023-12-07,,Active,Tokyo
E00147,O,51,IT,1,2016-01-01,,Active,Tokyo
E00148,F,40,R&D,4,2016-06-14,,Active,Toronto
E00149,O,28,HR,4,2018-07-11,,Active,New York
E00150,F,43,Sales,6,2018-11-01,,Active,Berlin
E00151,O,34,IT,5,2020-03-21,,Active,Sydney
E00152,M,60,HR,2,2017-06-07,,Active,London
E00153,F,50,Sales,5,2025-12-02,,Active,Sydney
E00154,M,50,Marketing,4,2025-02-27,,Active,New York
E00155,O,50,IT,4,2015-04-27,2020-07-22,Resigned,Berlin
E00156,F,24,Operations,6,2022-10-02,,Active,Sydney
E00157,O,25,Marketing,2,2022-11-09,2024-08-10,Resigned,Sydney
E00158,M,55,R&D,4,2023-07-08,,Active,Tokyo
E00159,F,60,Marketing,3,2015-05-23,,Active,Singapore
E00160,M,40,Operations,4,2019-10-06,,Active,Toronto
E00161,M,44,Operations,2,2019-09-28,,Active,Toronto
E00162,O,46,IT,5,2025-09-05,,Active,Berlin
E00163,O,45,R&D,5,2015-05-15,,Active,Tokyo
E00164,F,31,Finance,2,2016-01-16,,Active,London
E00165,O,43,Operations,6,2024-09-29,2025-04-11,Resigned,New York
E00166,O,45,Marketing,4,2025-04-30,,Active,New York
E00167,M,52,Operations,3,2018-05-14,,Active,London
E00168,F,55,Sales,5,2021-10-30,,Active,Tokyo
E00169,M,57,R&D,3,2016-04-08,,Active,Tokyo
E00170,M,50,Sales,3,2023-09-25,2025-11-19,Resigned,London
E00171,M,54,Marketing,4,2020-05-23,2021-02-27,Terminated,New York
E00172,M,43,Sales,6,2017-03-13,2022-01-03,Terminated,Toronto
E00173,O,38,IT,1,2018-06-17,,Active,New York
E00174,M,41,Sales,2,2016-12-15,2023-06-23,Terminated,Berlin
E00175,O,54,Operations,6,2024-03-04,2025-12-25,Terminated,New York
E00176,M,27,Operations,2,2023-04-12,,Active,Tokyo
E00177,O,23,Sales,5,2021-03-30,,Active,Sydney
E00178,F,26,R&D,3,2020-03-25,2021-01-24,Terminated,New York
E00179,O,33,HR,6,2025-03-02,,Active,Singapore
E00180,M,24,R&D,4,2019-03-04,2021-03-26,Resigned,Singapore
E00181,F,38,Sales,4,2015-03-14,,Active,Sydney
E00182,M,39,Sales,3,2016-08-08,,Active,Toronto
E00183,F,53,HR,4,2020-11-27,,Active,London
E00184,O,60,Marketing,4,2017-01-06,,Active,New York
E00185,F,50,R&D,3,2024-12-29,,Active,Berlin
E00186,F,49,IT,3,2019-10-29,,Active,Toronto
E00187,F,32,Operations,6,2015-08-28,2025-05-22,Terminated,Singapore
E00188,M,45,Sales,3,2021-12-04,,Active,Toronto
E00189,F,58,HR,1,2017-02-11,,Active,Tokyo
E00190,M,33,IT,6,2022-05-04,,Active,New York
E00191,F,40,R&D,2,2022-03-10,2023-10-28,Resigned,Tokyo
E00192,M,44,Sales,3,2016-04-12,,Active,Toronto
E00193,O,33,R&D,6,2020-09-26,,Active,Toronto
E00194,M,45,Sales,1,2023-01-18,,Active,Tokyo
E00195,O,47,IT,3,2022-08-04,,Active,New York
E00196,F,51,R&D,4,2025-12-24,,Active,New York
E00197,M,54,Sales,4,2015-03-30,,Active,London
E00198,M,36,Finance,6,2020-12-16,,Active,Berlin
E00199,F,39,Finance,5,2017-07-20,,Active,Toronto
E00200,O,59,R&D,5,2017-10-17,2023-05-16,Resigned,London
E00201,O,35,Sales,3,2024-04-01,,Active,Sydney
E00202,F,37,R&D,4,2025-01-04,,Active,Berlin
E00203,M,51,Marketing,4,2018-10-27,,Active,Tokyo
E00204,O,30,Sales,4,2020-06-19,,Active,Berlin
E00205,F,37,IT,4,2017-04-24,2022-07-16,Terminated,Berlin
E00206,M,42,Sales,5,2018-08-05,,Active,Berlin
E00207,F,27,HR,1,2021-04-30,,Active,Tokyo
E00208,F,53,IT,3,2024-11-05,,Active,New York
E00209,M,30,Sales,4,2019-12-24,,Active,New York
E00210,F,34,IT,5,2020-04-06,,Active,Sydney
E00211,F,29,Sales,3,2017-08-23,,Active,Sydney
E00212,O,34,HR,2,2024-06-24,,Active,Singapore
E00213,M,52,Finance,3,2023-05-21,,Active,Toronto
E00214,F,47,Operations,2,2024-12-07,,Active,Berlin
E00215,O,58,Operations,6,2019-05-15,,Active,Tokyo
E00216,O,41,IT,5,2025-02-16,2025-02-06,Terminated,Tokyo
E00217,O,46,Marketing,5,2017-11-23,,Active,London
E00218,O,50,IT,1,2020-02-01,,Active,London
E00219,O,25,Sales,4,2017-06-04,,Active,Sydney
E00220,O,51,Marketing,2,2023-07-22,,Active,Berlin
E00221,F,57,Finance,3,2019-02-01,2022-04-26,Terminated,London
E00222,F,39,HR,6,2019-01-17,2025-04-12,Terminated,Sydney
E00223,F,27,IT,6,2020-02-07,,Active,Berlin
E00224,M,57,Sales,3,2019-12-26,2024-11-11,Resigned,Sydney
E00225,M,28,R&D,1,2021-07-23,,Active,London
E00226,M,52,Operations,4,2022-10-01,,Active,London
E00227,O,58,IT,1,2018-07-28,,Active,Singapore
E00228,M,53,IT,4,2017-11-24,,Active,Singapore
E00229,F,43,Operations,1,2019-06-06,,Active,Sydney
E00230,M,39,Sales,4,2018-11-29,,Active,Sydney
E00231,O,22,HR,2,2020-03-23,,Active,Toronto
E00232,O,49,Sales,4,2023-05-18,,Active,Toronto
E00233,M,22,Marketing,2,2019-06-11,,Active,Berlin
E00234,F,22,Operations,5,2019-02-25,,Active,Toronto
E00235,F,54,HR,4,2019-01-01,,Active,London
E00236,M,51,Finance,2,2024-02-23,,Active,Tokyo
E00237,O,60,Sales,2,2016-02-11,,Active,London
E00238,O,54,IT,5,2018-01-16,,Active,New York
E00239,O,35,Marketing,6,2024-08-25,,Active,New York
E00240,F,51,Finance,4,2024-06-07,2025-01-24,Terminated,Sydney
E00241,M,26,R&D,5,2015-03-21,,Active,London
E00242,M,48,Marketing,3,2017-11-29,,Active,New York
E00243,F,27,Sales,4,2025-02-14,,Active,Tokyo
E00244,M,55,Finance,4,2017-11-14,,Active,Sydney
E00245,F,56,Marketing,6,2021-09-29,,Active,Toronto
E00246,F,29,Finance,2,2015-09-09,,Active,Berlin
E00247,M,24,IT,5,2022-08-13,,Active,New York
E00248,F,35,Marketing,5,2015-04-17,2020-09-28,Resigned,London
E00249,O,37,Sales,3,2019-11-20,,Active,Toronto
E00250,F,59,HR,5,2017-06-07,,Active,New York
E00251,M,46,HR,6,2023-01-06,,Active,Toronto
E00252,F,52,Marketing,5,2018-07-27,,Active,London
E00253,M,57,Operations,4,2023-03-24,2024-08-05,Terminated,Tokyo
E00254,F,56,Sales,1,2018-09-16,2022-12-21,Resigned,Berlin
E00255,O,52,R&D,2,2018-04-22,,Active,Sydney
E00256,M,52,Finance,1,2018-03-20,,Active,Toronto
E00257,O,46,HR,3,2022-03-01,,Active,Singapore
E00258,F,28,Operations,4,2022-12-29,,Active,Tokyo
E00259,F,36,Marketing,5,2017-07-12,2024-10-23,Terminated,New York
E00260,M,53,Marketing,2,2023-06-05,,Active,Sydney
E00261,O,51,R&D,4,2017-05-10,,Active,Toronto
E00262,O,56,Operations,2,2025-10-20,,Active,Tokyo
E00263,O,48,IT,1,2017-03-19,,Active,Singapore
E00264,M,45,Finance,4,2015-04-18,,Active,Sydney
E00265,M,48,IT,5,2015-11-12,2020-10-28,Terminated,Sydney
E00266,M,31,IT,5,2018-08-17,2023-07-14,Terminated,New York
E00267,M,58,HR,4,2018-12-20,,Active,Tokyo
E00268,O,27,Sales,1,2021-12-28,,Active,Toronto
E00269,O,27,IT,2,2022-08-07,,Active,Toronto
E00270,M,58,Finance,6,2022-07-09,,Active,London
E00271,O,42,R&D,2,2015-06-16,,Active,New York
E00272,M,37,HR,5,2024-07-15,,Active,London
E00273,F,27,Sales,2,2023-05-16,,Active,Toronto
E00274,F,43,Finance,1,2024-10-06,,Active,Singapore
E00275,M,53,R&D,4,2018-02-26,,Active,Berlin
E00276,O,27,Operations,4,2024-01-18,,Active,Toronto
E00277,F,31,Finance,6,2021-12-17,,Active,Tokyo
E00278,F,28,Marketing,3,2017-07-26,2024-09-14,Terminated,Berlin
E00279,F,44,IT,1,2023-11-01,2025-02-23,Terminated,New York
E00280,F,57,Sales,6,2018-06-21,,Active,New York
E00281,M,53,HR,3,2017-02-21,2024-02-28,Terminated,Berlin
E00282,M,53,HR,2,2024-07-12,,Active,Berlin
E00283,F,46,IT,3,2020-02-17,,Active,Tokyo
E00284,F,52,Operations,2,2020-07-12,2024-07-05,Terminated,Toronto
E00285,M,47,HR,3,2020-01-21,2025-08-26,Resigned,Tokyo
E00286,O,51,Sales,1,2018-09-10,,Active,Sydney
E00287,O,41,Marketing,6,2018-08-15,,Active,London
E00288,M,59,Marketing,4,2021-09-08,,Active,Sydney
E00289,F,60,R&D,5,2025-09-02,,Active,Singapore
E00290,M,58,R&D,1,2025-02-07,,Active,Sydney
E00291,M,36,IT,3,2023-02-22,,Active,New York
E00292,F,59,Marketing,6,2023-03-13,2024-10-04,Terminated,Tokyo
E00293,M,31,IT,6,2020-09-12,,Active,Singapore
E00294,F,50,HR,1,2022-03-07,,Active,Tokyo
E00295,M,28,Sales,6,2025-07-07,,Active,Berlin
E00296,O,49,Finance,5,2022-09-24,2024-11-30,Resigned,Berlin
E00297,M,50,R&D,2,2024-08-03,,Active,Sydney
E00298,F,58,Sales,1,2016-09-08,,Active,Toronto
E00299,F,38,Finance,1,2025-06-28,,Active,Tokyo
E00300,F,29,Operations,5,2020-04-03,,Active,Tokyo
E00301,O,30,Operations,6,2020-12-20,2023-11-01,Resigned,New York
E00302,O,30,Marketing,5,2024-04-22,,Active,Tokyo
E00303,O,32,R&D,5,2022-06-01,,Active,London
E00304,O,22,IT,3,2022-07-14,2024-03-12,Terminated,Singapore
E00305,O,32,Sales,4,2016-07-02,,Active,Tokyo
E00306,F,32,Finance,3,2022-10-30,,Active,Sydney
E00307,M,56,Operations,3,2020-07-22,,Active,New York
E00308,M,37,Marketing,6,2019-11-06,,Active,New York
E00309,F,50,Sales,1,2016-07-30,,Active,Singapore
E00310,O,49,HR,6,2017-04-03,,Active,Singapore
E00311,O,60,HR,3,2023-05-04,2025-11-27,Terminated,Sydney
E00312,O,48,Sales,2,2015-04-19,,Active,New York
E00313,M,47,R&D,2,2022-05-15,2025-01-30,Terminated,Berlin
E00314,M,47,R&D,1,2023-04-27,,Active,Singapore
E00315,F,27,Operations,6,2022-12-15,,Active,New York
E00316,F,53,Finance,2,2019-06-25,,Active,Tokyo
E00317,O,43,Finance,4,2025-01-18,,Active,Sydney
E00318,M,50,IT,2,2022-02-11,2024-01-17,Resigned,Singapore
E00319,F,38,IT,3,2016-12-03,,Active,Toronto
E00320,O,36,HR,6,2021-06-26,,Active,Toronto
E00321,F,36,IT,5,2023-05-30,,Active,London
E00322,M,30,Sales,6,2022-03-22,2024-04-11,Resigned,Tokyo
E00323,F,30,HR,4,2025-01-17,,Active,London
E00324,O,32,IT,6,2022-02-12,,Active,Sydney
E00325,O,27,R&D,2,2016-08-04,2018-05-28,Terminated,Tokyo
E00326,M,27,Finance,6,2018-10-06,,Active,Berlin
E00327,O,60,HR,5,2023-06-07,2025-11-10,Terminated,London
E00328,F,60,IT,4,2016-08-17,,Active,London
E00329,M,48,Marketing,5,2020-05-26,,Active,Singapore
E00330,M,38,Operations,1,2018-10-09,2019-07-26,Terminated,New York
E00331,F,27,Marketing,4,2025-02-08,,Active,Toronto
E00332,M,35,HR,5,2017-03-16,,Active,New York
E00333,O,25,Marketing,2,2018-08-28,2022-08-24,Resigned,Toronto
E00334,O,33,R&D,6,2016-05-31,2019-08-16,Resigned,Toronto
E00335,O,38,Operations,6,2017-12-12,,Active,Singapore
E00336,F,55,Sales,3,2016-05-08,,Active,Tokyo
E00337,F,53,Operations,1,2024-12-23,2025-04-18,Terminated,Berlin
E00338,O,22,Operations,1,2018-03-12,2021-12-12,Terminated,New York
E00339,O,48,Sales,6,2018-08-28,,Active,Toronto
E00340,M,54,Operations,1,2025-02-05,,Active,Berlin
E00341,M,40,Marketing,4,2019-04-18,,Active,New York
E00342,F,41,Finance,5,2024-01-05,2025-08-15,Terminated,Berlin
E00343,M,36,IT,1,2023-04-11,,Active,Tokyo
E00344,O,41,Marketing,6,2016-03-10,2020-03-25,Terminated,Singapore
E00345,O,36,HR,1,2023-06-29,,Active,New York
E00346,O,47,IT,2,2016-08-24,,Active,Sydney
E00347,M,47,HR,3,2020-10-18,,Active,Berlin
E00348,M,28,Finance,5,2017-07-21,2025-12-13,Terminated,Singapore
E00349,O,50,HR,2,2019-08-11,,Active,Singapore
E00350,O,60,HR,6,2015-06-14,2021-12-06,Resigned,Singapore
E00351,F,41,Operations,6,2019-08-20,,Active,New York
E00352,F,37,Operations,5,2016-08-11,,Active,Toronto
E00353,M,30,Sales,2,2018-02-27,,Active,Singapore
E00354,O,23,HR,1,2016-01-30,2024-09-19,Resigned,Singapore
E00355,M,58,Marketing,2,2021-01-30,,Active,New York
E00356,F,44,R&D,2,2018-04-02,,Active,Tokyo
E00357,M,37,IT,5,2025-09-11,,Active,Sydney
E00358,M,30,IT,4,2021-01-24,2023-03-07,Resigned,Berlin
E00359,O,58,Sales,3,2023-04-16,,Active,Tokyo
E00360,F,39,Operations,1,2015-11-15,,Active,London
E00361,O,37,Finance,1,2025-02-18,2025-01-31,Resigned,London
E00362,M,42,Finance,5,2020-11-22,,Active,London
E00363,O,53,Finance,2,2023-09-03,,Active,Sydney
E00364,M,23,Finance,2,2023-07-11,,Active,Sydney
E00365,F,25,R&D,3,2015-03-18,2018-02-20,Resigned,London
E00366,F,59,R&D,4,2016-07-14,,Active,Toronto
E00367,O,53,Marketing,6,2025-12-02,,Active,Singapore
E00368,O,46,Operations,2,2019-07-08,,Active,Singapore
E00369,O,47,IT,5,2024-09-17,2025-03-02,Resigned,Toronto
E00370,M,37,HR,1,2020-07-24,,Active,Toronto
E00371,F,37,IT,2,2016-05-20,,Active,Berlin
E00372,F,32,Marketing,4,2021-02-26,,Active,Toronto
E00373,F,58,IT,4,2025-09-11,,Active,Singapore
E00374,M,40,Sales,1,2015-03-20,,Active,Singapore
E00375,M,26,Marketing,6,2023-01-15,,Active,London
E00376,O,49,Marketing,1,2025-06-12,2025-06-26,Terminated,Toronto
E00377,F,57,Finance,4,2023-08-07,,Active,London
E00378,M,57,IT,5,2022-01-12,2024-12-24,Resigned,Tokyo
E00379,O,34,R&D,4,2016-11-07,2019-06-15,Terminated,Sydney
E00380,F,53,Sales,4,2025-01-12,,Active,Tokyo
E00381,F,50,Marketing,2,2015-10-19,,Active,Berlin
E00382,F,28,Operations,2,2016-02-08,,Active,New York
E00383,M,55,Operations,4,2021-12-26,,Active,New York
E00384,F,24,IT,6,2023-02-18,,Active,Tokyo
E00385,F,34,Finance,2,2017-02-23,2019-11-12,Terminated,London
E00386,F,27,HR,1,2021-05-23,,Active,Toronto
E00387,O,59,Marketing,1,2023-04-21,,Active,Singapore
E00388,M,28,Operations,5,2016-10-10,,Active,Sydney
E00389,F,53,Marketing,4,2024-02-28,,Active,Berlin
E00390,F,47,Finance,5,2015-09-25,,Active,Sydney
E00391,O,23,Marketing,3,2020-06-24,,Active,Berlin
E00392,F,28,Sales,6,2018-10-27,2024-04-16,Terminated,Toronto
E00393,O,50,R&D,2,2018-02-22,,Active,New York
E00394,F,32,Sales,5,2016-04-02,,Active,New York
E00395,O,34,Operations,2,2018-06-02,,Active,New York
E00396,M,39,HR,2,2020-12-18,,Active,Toronto
E00397,O,53,IT,3,2024-06-22,,Active,London
E00398,F,27,Finance,3,2019-12-13,2020-08-31,Resigned,Singapore
E00399,O,39,Finance,2,2025-11-19,,Active,Toronto
E00400,M,22,R&D,5,2018-12-13,,Active,London
E00401,F,38,Sales,4,2018-12-10,,Active,Berlin
E00402,M,45,IT,6,2023-11-23,,Active,Sydney
E00403,O,43,IT,1,2019-02-13,,Active,Tokyo
E00404,M,25,Finance,2,2024-07-19,,Active,Sydney
E00405,O,48,Marketing,3,2021-02-17,,Active,Berlin
E00406,O,56,R&D,6,2025-03-31,,Active,London
E00407,M,33,Sales,5,2019-06-22,2021-01-11,Terminated,Toronto
E00408,O,36,IT,3,2019-06-29,,Active,London
E00409,O,52,HR,1,2015-08-06,,Active,Tokyo
E00410,M,46,Operations,6,2023-01-10,,Active,New York
E00411,M,51,HR,5,2017-07-14,,Active,Tokyo
E00412,F,25,R&D,3,2015-04-05,,Active,London
E00413,M,30,Marketing,1,2024-10-19,,Active,Singapore
E00414,F,56,Marketing,1,2018-07-25,,Active,New York
E00415,M,37,IT,1,2018-06-27,,Active,Toronto
E00416,M,41,Marketing,5,2017-11-01,2018-04-18,Terminated,Sydney
E00417,O,30,Operations,4,2020-01-03,,Active,Berlin
E00418,M,36,Sales,1,2018-03-05,,Active,Tokyo
E00419,O,45,Operations,1,2025-02-06,,Active,London
E00420,O,28,IT,1,2025-08-22,,Active,Sydney
E00421,F,38,Marketing,5,2022-03-22,,Active,New York
E00422,F,55,R&D,6,2019-06-11,,Active,New York
E00423,O,40,R&D,1,2016-02-25,,Active,Sydney
E00424,M,34,Sales,5,2020-01-10,,Active,Berlin
E00425,O,52,Marketing,6,2020-01-15,2021-01-01,Resigned,London
E00426,M,28,Sales,1,2019-01-31,,Active,Sydney
E00427,F,24,IT,2,2019-07-15,,Active,New York
E00428,M,22,Sales,1,2017-01-01,,Active,Singapore
E00429,F,27,Operations,6,2020-05-09,,Active,Berlin
E00430,F,52,Marketing,4,2021-07-29,,Active,Berlin
E00431,O,28,R&D,2,2021-06-02,,Active,New York
E00432,O,23,Marketing,3,2025-09-18,,Active,Singapore
E00433,M,26,Marketing,1,2019-06-20,,Active,Tokyo
E00434,O,43,Operations,6,2023-03-26,,Active,London
E00435,O,44,R&D,4,2025-08-05,,Active,London
E00436,O,32,IT,6,2023-11-13,,Active,New York
E00437,F,39,HR,3,2015-12-25,,Active,London
E00438,M,58,IT,4,2022-07-01,2024-05-13,Terminated,Tokyo
E00439,O,47,R&D,1,2021-04-29,2022-06-29,Resigned,New York
E00440,O,51,Finance,6,2020-09-25,,Active,Toronto
E00441,F,60,Operations,5,2022-05-31,,Active,Singapore
E00442,M,22,Sales,2,2020-02-14,,Active,Toronto
E00443,F,32,R&D,1,2022-12-24,2025-01-22,Terminated,New York
E00444,M,35,IT,4,2022-02-06,,Active,Singapore
E00445,F,59,IT,6,2016-05-26,,Active,Toronto
