Employee_ID,Performance_Rating,Last_Promotion_Year,Job_Level,Department
E00177,1,2023,5,Sales
E00178,2,2017,3,R&D
E00179,4,2019,6,HR
E00180,3,2021,4,R&D
E00181,2,2021,4,Sales
E00182,4,2023,3,Sales
E00183,5,2021,4,HR
E00184,3,2018,4,Marketing
E00185,2,2024,3,R&D
E00186,1,2018,3,IT
E00187,1,2019,6,Operations
E00188,1,2019,3,Sales
E00189,4,2022,1,HR
E00190,5,2018,6,IT
E00191,4,2019,2,R&D
E00192,3,2021,3,Sales
E00193,1,2020,6,R&D
E00194,4,2025,1,Sales
E00195,4,2018,3,IT
E00196,2,2025,4,R&D
E00197,5,2019,4,Sales
E00198,5,2021,6,Finance
E00199,5,2025,5,Finance
E00200,1,2018,5,R&D
E00201,1,2024,3,Sales
E00202,4,2018,4,R&D
E00203,2,2022,4,Marketing
E00204,1,2022,4,Sales
E00205,5,2023,4,IT
E00206,4,2025,5,Sales
E00207,2,2020,1,HR
E00208,4,2021,3,IT
E00209,4,2022,4,Sales
E00210,1,2023,5,IT
E00211,4,2022,3,Sales
E00212,5,2017,2,HR
E00213,5,2025,3,Finance
E00214,3,2022,2,Operations
E00215,1,2022,6,Operations
E00216,3,2020,5,IT
E00217,2,2017,5,Marketing
E00218,4,2020,1,IT
E00219,5,2022,4,Sales
E00220,3,2021,2,Marketing
E00221,2,2024,3,Finance
E00222,4,2022,6,HR
E00223,3,2024,6,IT
E00224,2,2017,3,Sales
E00225,4,2018,1,R&D
E00226,3,2022,4,Operations
E00227,1,2019,1,IT
E00228,3,2017,4,IT
E00229,5,2025,1,Operations
E00230,3,2019,4,Sales
E00231,5,2020,2,HR
E00232,4,2018,4,Sales
E00233,4,2021,2,Marketing
E00234,2,2017,5,Operations
E00235,3,2022,4,HR
E00236,5,2024,2,Finance
E00237,5,2022,2,Sales
E00238,2,2019,5,IT
E00239,5,2024,6,Marketing
E00240,1,2023,4,Finance
E00241,1,2025,5,R&D
E00242,4,2022,3,Marketing
E00243,5,2019,4,Sales
E00244,2,2017,4,Finance
E00245,2,2020,6,Marketing
E00246,4,2017,2,Finance
E00247,1,2020,5,IT
E00248,5,2022,5,Marketing
E00249,5,2020,3,Sales
E00250,4,2025,5,HR
E00251,4,2023,6,HR
E00252,3,2019,5,Marketing
E00253,2,2022,4,Operations
E00254,1,2020,1,Sales
E00255,3,2021,2,R&D
E00256,2,2023,1,Finance
E00257,3,2021,3,HR
E00258,3,2020,4,Operations
E00259,2,2020,5,Marketing
E00260,3,2021,2,Marketing
E00261,3,2019,4,R&D
E00262,5,2017,2,Operations
E00263,2,2018,1,IT
E00264,5,2024,4,Finance
E00265,1,2025,5,IT
E00266,3,2021,5,IT
E00267,2,2021,4,HR
E00268,5,2024,1,Sales
E00269,3,2018,2,IT
E00270,1,2021,6,Finance
E00271,5,2019,2,R&D
E00272,4,2025,5,HR
E00273,3,2017,2,Sales
E00274,5,2023,1,Finance
E00275,4,2023,4,R&D
E00276,2,2018,4,Operations
E00277,1,2018,6,Finance
E00278,5,2025,3,Marketing
E00279,1,2021,1,IT
E00280,2,2023,6,Sales
E00281,4,2021,3,HR
E00282,4,2018,2,HR
E00283,4,2019,3,IT
E00284,3,2024,2,Operations
E00285,5,2025,3,HR
E00286,3,2018,1,Sales
E00287,2,2023,6,Marketing
E00288,4,2025,4,Marketing
E00289,1,2020,5,R&D
E00290,4,2022,1,R&D
E00291,5,2020,3,IT
E00292,1,2021,6,Marketing
E00293,4,2020,6,IT
E00294,3,2017,1,HR
E00295,2,2025,6,Sales
E00296,2,2023,5,Finance
E00297,1,2020,2,R&D
E00298,5,2019,1,Sales
E00299,5,2022,1,Finance
E00300,4,2019,5,Operations
E00301,2,2022,6,Operations
E00302,2,2024,5,Marketing
E00303,2,2022,5,R&D
E00304,4,2024,3,IT
E00305,2,2021,4,Sales
E00306,4,2025,3,Finance
E00307,1,2024,3,Operations
E00308,1,2024,6,Marketing
E00309,2,2020,1,Sales
E00310,2,2020,6,HR
E00311,5,2021,3,HR
E00312,2,2019,2,Sales
E00313,4,2023,2,R&D
E00314,3,2024,1,R&D
E00315,3,2018,6,Operations
E00316,3,2022,2,Finance
E00317,1,2018,4,Finance
E00318,2,2021,2,IT
E00319,2,2017,3,IT
E00320,1,2017,6,HR
E00321,1,2017,5,IT
E00322,1,2018,6,Sales
E00323,2,2018,4,HR
E00324,2,2019,6,IT
E00325,3,2023,2,R&D
E00326,5,2021,6,Finance
E00327,1,2020,5,HR
E00328,1,2022,4,IT
E00329,2,2024,5,Marketing
E00330,5,2021,1,Operations
E00331,5,2019,4,Marketing
E00332,4,2018,5,HR
E00333,4,2017,2,Marketing
E00334,2,2024,6,R&D
E00335,3,2018,6,Operations
E00336,5,2018,3,Sales
E00337,1,2018,1,Operations
E00338,2,2019,1,Operations
E00339,4,2022,6,Sales
E00340,2,2020,1,Operations
E00341,5,2024,4,Marketing
E00342,2,2025,5,Finance
E00343,1,2022,1,IT
E00344,4,2017,6,Marketing
E00345,3,2024,1,HR
E00346,1,2023,2,IT
E00347,3,2020,3,HR
E00348,3,2023,5,Finance
E00349,1,2018,2,HR
E00350,1,2020,6,HR
E00351,2,2017,6,Operations
E00352,2,2018,5,Operations
E00353,3,2018,2,Sales
E00354,1,2022,1,HR
E00355,4,2024,2,Marketing
E00356,3,2021,2,R&D
E00357,4,2025,5,IT
E00358,4,2022,4,IT
E00359,3,2019,3,Sales
E00360,4,2025,1,Operations
E00361,2,2023,1,Finance
E00362,1,2022,5,Finance
E00363,4,2017,2,Finance
E00364,3,2020,2,Finance
E00365,5,2022,3,R&D
E00366,3,2019,4,R&D
E00367,5,2022,6,Marketing
E00368,3,2019,2,Operations
E00369,5,2018,5,IT
E00370,2,2018,1,HR
E00371,1,2017,2,IT
E00372,4,2022,4,Marketing
E00373,2,2019,4,IT
E00374,1,2018,1,Sales
E00375,1,2022,6,Marketing
E00376,2,2017,1,Marketing
E00377,3,2021,4,Finance
E00378,4,2018,5,IT
E00379,1,2024,4,R&D
E00380,5,2023,4,Sales
E00381,4,2021,2,Marketing
E00382,5,2023,2,Operations
E00383,4,2020,4,Operations
E00384,5,2019,6,IT
E00385,2,2019,2,Finance
E00386,5,2022,1,HR
E00387,1,2023,1,Marketing
E00388,1,2021,5,Operations
E00389,1,2019,4,Marketing
E00390,3,2020,5,Finance
E00391,3,2021,3,Marketing
E00392,3,2021,6,Sales
E00393,4,2024,2,R&D
E00394,5,2023,5,Sales
E00395,2,2017,2,Operations
E00396,5,2023,2,HR
E00397,4,2025,3,IT
E00398,5,2020,3,Finance
E00399,1,2017,2,Finance
E00400,3,2021,5,R&D
E00401,5,2023,4,Sales
E00402,5,2021,6,IT
E00403,3,2021,1,IT
E00404,3,2019,2,Finance
E00405,1,2020,3,Marketing
E00406,3,2025,6,R&D
E00407,5,2019,5,Sales
E00408,3,2022,3,IT
E00409,5,2018,1,HR
E00410,1,2019,6,Operations
E00411,2,2018,5,HR
E00412,2,2019,3,R&D
E00413,4,2023,1,Marketing
E00414,1,2022,1,Marketing
E00415,3,2021,1,IT
E00416,3,2024,5,Marketing
E00417,4,2022,4,Operations
E00418,2,2020,1,Sales
E00419,4,2021,1,Operations
E00420,1,2018,1,IT
E00421,2,2017,5,Marketing
E00422,2,2023,6,R&D
E00423,4,2020,1,R&D
E00424,3,2019,5,Sales
E00425,1,2024,6,Marketing
E00426,4,2021,1,Sales
E00427,3,2023,2,IT
E00428,2,2022,1,Sales
E00429,2,2018,6,Operations
E00430,2,2018,4,Marketing
E00431,4,2024,2,R&D
E00432,2,2024,3,Marketing
E00433,1,2025,1,Marketing
E00434,5,2018,6,Operations
E00435,4,2019,4,R&D
E00436,4,2019,6,IT
E00437,5,2023,3,HR
E00438,3,2018,4,IT
E00439,5,2021,1,R&D
E00440,1,2020,6,Finance
E00441,3,2024,5,Operations
E00442,3,2025,2,Sales
E00443,1,2021,1,R&D
E00444,2,2022,4,IT
E00445,4,2024,6,IT
E00446,4,2024,1,Finance
E00447,5,2022,2,R&D
E00448,3,2021,6,Marketing
E00449,5,2022,5,Finance
E00450,2,2019,2,Finance
E00451,5,2023,3,R&D
E00452,1,2020,1,Sales
E00453,3,2020,3,HR
E00454,5,2020,4,HR
E00455,4,2023,6,Finance
E00456,4,2020,6,IT
E00457,2,2018,5,Operations
E00458,5,2021,1,R&D
E00459,2,2017,3,Operations
E00460,5,2022,6,Operations
E00461,5,2025,2,HR
E00462,2,2025,2,HR
E00463,4,2020,6,Sales
E00464,3,2017,4,R&D
E00465,3,2025,5,Operations
E00466,2,2020,5,Finance
E00467,1,2019,6,Finance
E00468,5,2020,1,R&D
E00469,4,2018,6,Marketing
E00470,5,2018,5,R&D
E00471,1,2024,1,HR
E00472,2,2021,6,Finance
E00473,3,2020,5,Operations
E00474,1,2019,5,Marketing
E00475,3,2018,5,Sales
E00476,2,2018,5,Finance
E00477,3,2019,3,IT
E00478,4,2021,3,HR
E00479,3,2024,3,R&D
E00480,2,2025,5,Finance
E00481,1,2023,1,R&D
E00482,2,2022,3,IT
E00483,5,2018,6,Sales
E00484,5,2019,6,Operations
E00485,1,2020,5,Finance
E00486,5,2022,3,IT
E00487,5,2021,1,Marketing
E00488,5,2018,2,Operations
E00489,3,2024,5,Marketing
E00490,2,2019,2,IT
E00491,1,2024,1,Operations
E00492,2,2025,2,Finance
E00493,4,2017,2,Finance
E00494,5,2019,5,Finance
E00495,1,2020,6,Finance
E00496,5,2023,1,Finance
E00497,5,2025,4,IT
E00498,4,2025,2,Marketing
E00499,3,2018,6,Sales
E00500,5,2023,2,HR
E00501,5,2017,6,IT
E00502,3,2025,3,Finance
E00503,5,2024,3,HR
E00504,4,2019,4,Operations
E00505,5,2017,6,Finance
E00506,4,2018,1,R&D
E00507,4,2025,1,Finance
E00508,2,2017,2,Operations
E00509,1,2019,2,Operations
E00510,5,2017,3,Sales
E00511,3,2020,6,Operations
E00512,5,2018,5,Marketing
E00513,5,2021,5,HR
E00514,5,2017,2,Operations
E00515,3,2023,4,HR
E00516,4,2022,6,Operations
E00517,3,2019,3,Finance
E00518,5,2022,2,R&D
E00519,3,2022,6,IT
E00520,2,2019,4,Sales
E00521,4,2019,4,Sales
E00522,5,2018,4,R&D
E00523,3,2024,3,Operations
E00524,3,2022,4,Finance
E00525,1,2021,5,Marketing
E00526,2,2024,4,Marketing
E00527,4,2021,2,Marketing
E00528,1,2020,1,Sales
E00529,3,2025,1,Sales
E00530,5,2020,4,HR
E00531,5,2024,5,R&D
E00532,2,2022,3,Marketing
E00533,3,2021,4,Operations
E00534,5,2024,3,R&D
E00535,1,2020,1,Finance
E00536,1,2021,1,IT
E00537,4,2019,3,R&D
E00538,3,2024,1,Sales
E00539,5,2025,4,HR
E00540,4,2021,2,Marketing
E00541,5,2017,5,IT
E00542,2,2023,4,HR
E00543,2,2025,2,Marketing
E00544,2,2021,5,R&D
E00545,3,2017,4,Marketing
E00546,4,2017,2,Operations
E00547,4,2022,4,Finance
E00548,5,2024,3,Sales
E00549,2,2023,4,Sales
E00550,2,2024,2,R&D
E00551,3,2024,2,HR
E00552,1,2019,6,HR
E00553,4,2019,2,IT
E00554,1,2017,4,Finance
E00555,3,2025,5,Finance
E00556,3,2017,1,R&D
E00557,3,2024,3,Marketing
E00558,5,2022,2,Sales
E00559,5,2022,5,Sales
E00560,5,2021,6,R&D
E00561,1,2019,1,R&D
E00562,5,2021,4,Finance
E00563,2,2024,6,Finance
E00564,4,2022,1,Sales
E00565,1,2020,1,HR
E00566,2,2025,5,Finance
E00567,4,2018,6,R&D
E00568,3,2022,5,Operations
E00569,5,2025,4,Sales
E00570,4,2023,6,Sales
E00571,3,2020,5,IT
E00572,5,2019,6,IT
E00573,5,2020,2,Marketing
E00574,2,2018,1,Sales
E00575,3,2017,6,Finance
E00576,4,2023,1,IT
E00577,4,2017,5,R&D
E00578,2,2019,5,IT
E00579,2,2023,4,R&D
E00580,1,2025,3,Finance
E00581,4,2025,5,IT
E00582,5,2020,5,Marketing
E00583,1,2018,4,HR
E00584,1,2021,2,HR
E00585,3,2019,4,Operations
E00586,3,2024,2,R&D
E00587,5,2024,6,HR
E00588,5,2017,1,R&D
E00589,1,2018,2,IT
E00590,4,2025,6,HR
E00591,5,2017,5,Marketing
E00592,1,2022,3,Operations
E00593,3,2023,2,R&D
E00594,1,2023,2,HR
E00595,3,2022,6,Operations
E00596,2,2019,6,Finance
E00597,5,2019,2,R&D
E00598,2,2017,6,Operations
E00599,1,2019,4,Marketing
E00600,2,2020,5,Sales
E00601,5,2024,1,IT
E00602,4,2017,4,Sales
E00603,3,2024,6,Finance
E00604,4,2025,1,Marketing
E00605,1,2020,1,R&D
E00606,1,2020,1,Marketing
E00607,5,2017,3,Marketing
E00608,1,2019,6,Marketing
E00609,2,2024,4,Operations
E00610,2,2018,1,Finance
E00611,4,2025,6,R&D
E00612,2,2019,1,Operations
E00613,4,2021,1,Sales
E00614,4,2025,1,Finance
E00615,4,2024,2,Marketing
E00616,5,2020,2,Operations
E00617,3,2018,6,Finance
E00618,5,2025,2,Marketing
E00619,3,2022,3,R&D
E00620,1,2021,5,Sales
E00621,5,2021,2,Marketing
E00622,3,2019,3,Sales
E00623,5,2020,6,Operations
E00624,2,2023,1,IT
E00625,3,2021,5,HR
E00626,4,2017,5,HR
E00627,2,2024,3,HR
E00628,4,2017,5,Marketing
E00629,2,2022,6,Operations
E00630,2,2023,1,Finance
E00631,1,2024,3,IT
E00632,1,2022,3,Marketing
E00633,2,2020,5,IT
E00634,2,2017,5,R&D
E00635,1,2018,5,R&D
E00636,3,2020,5,IT
E00637,1,2021,3,Finance
E00638,3,2019,1,HR
E00639,5,2024,1,Finance
E00640,1,2023,6,IT
E00641,3,2020,5,R&D
E00642,4,2021,4,Sales
E00643,3,2022,2,Finance
E00644,2,2021,4,IT
E00645,1,2022,5,Operations
E00646,4,2020,3,IT
E00647,4,2022,4,Finance
E00648,1,2024,6,Finance
E00649,1,2018,4,IT
E00650,2,2019,6,HR
E00651,3,2021,5,HR
E00652,4,2019,5,HR
E00653,3,2018,1,HR
E00654,4,2023,6,Finance
E00655,3,2023,6,Operations
E00656,4,2023,2,Sales
E00657,5,2019,4,Finance
E00658,5,2024,4,Marketing
E00659,1,2024,4,Operations
E00660,5,2021,6,Operations
E00661,1,2025,5,IT
E00662,5,2024,3,Operations
E00663,5,2021,3,HR
E00664,3,2017,2,Marketing
E00665,5,2021,5,IT
E00666,2,2024,1,IT
E00667,3,2018,6,HR
E00668,2,2022,4,Sales
E00669,4,2021,1,HR
E00670,4,2021,2,Sales
E00671,3,2025,1,Sales
E00672,3,2022,3,Operations
E00673,2,2020,3,Sales
E00674,1,2023,2,R&D
E00675,3,2020,4,IT
E00676,2,2018,1,Operations
E00677,5,2019,2,Sales
E00678,4,2021,3,Finance
E00679,3,2017,3,R&D
E00680,4,2020,3,HR
E00681,4,2020,4,Finance
E00682,1,2024,1,R&D
E00683,5,2017,1,R&D
E00684,1,2025,4,Sales
E00685,3,2022,4,Marketing
E00686,3,2018,6,IT
E00687,2,2021,2,R&D
E00688,4,2020,3,R&D
E00689,1,2025,6,Finance
E00690,3,2017,4,Operations
E00691,5,2019,6,Finance
E00692,4,2017,6,IT
E00693,1,2024,1,R&D
E00694,5,2020,1,IT
E00695,3,2020,6,Marketing
E00696,3,2025,1,Finance
E00697,5,2023,1,Finance
E00698,5,2021,1,Marketing
E00699,4,2020,4,Sales
E00700,1,2021,5,R&D
E00701,1,2022,2,IT
E00702,4,2024,6,Finance
E00703,5,2024,1,R&D
E00704,4,2025,5,R&D
E00705,2,2022,4,Finance
E00706,4,2020,1,HR
E00707,4,2022,1,Operations
E00708,5,2017,6,R&D
E00709,3,2019,4,IT
E00710,4,2020,2,Operations
E00711,2,2020,3,Sales
E00712,4,2017,5,Operations
E00713,4,2018,5,R&D
E00714,2,2022,5,Finance
E00715,4,2017,1,R&D
E00716,3,2024,6,Sales
E00717,5,2025,6,IT
E00718,3,2017,1,Sales
E00719,5,2018,5,HR
E00720,4,2020,2,Sales
E00721,4,2024,5,HR
E00722,3,2024,4,Sales
E00723,3,2018,1,R&D
E00724,3,2023,6,HR
E00725,1,2017,4,Marketing
E00726,3,2024,4,R&D
E00727,2,2021,5,R&D
E00728,2,2019,3,Finance
E00729,5,2019,6,Finance
E00730,3,2019,2,HR
E00731,4,2024,5,Operations
E00732,3,2024,1,HR
E00733,4,2017,5,R&D
E00734,2,2024,3,Operations
E00735,3,2020,5,HR
E00736,4,2022,4,Operations
E00737,4,2022,6,Operations
E00738,4,2021,3,HR
E00739,2,2020,4,Marketing
E00740,1,2017,3,Sales
E00741,2,2020,2,HR
E00742,3,2024,4,HR
E00743,4,2018,1,Marketing
E00744,1,2022,6,Finance
E00745,5,2017,3,Operations
E00746,2,2022,2,Operations
E00747,5,2018,4,HR
E00748,5,2022,2,Sales
E00749,3,2019,3,Sales
E00750,2,2018,3,Operations
E00751,5,2025,2,Operations
E00752,1,2019,1,Sales
E00753,5,2025,6,HR
E00754,2,2021,1,R&D
E00755,1,2020,4,Finance
E00756,3,2017,5,Sales
E00757,3,2017,1,R&D
E00758,5,2020,3,Sales
E00759,2,2025,5,IT
E00760,2,2024,5,IT
E00761,4,2018,4,Sales
E00762,3,2025,5,Marketing
E00763,3,2024,1,HR
E00764,4,2022,4,Marketing
E00765,1,2018,6,R&D
E00766,2,2023,5,Marketing
E00767,5,2021,6,Sales
E00768,2,2024,5,Marketing
E00769,1,2018,4,HR
E00770,3,2019,1,Marketing
E00771,2,2021,1,Operations
E00772,1,2023,5,Operations
E00773,2,2024,4,Marketing
E00774,4,2025,4,HR
E00775,5,2023,5,Marketing
E00776,5,2017,1,HR
E00777,2,2020,3,IT
E00778,5,2022,1,HR
E00779,3,2017,4,R&D
E00780,1,2024,4,IT
E00781,3,2019,3,R&D
E00782,3,2023,4,Marketing
E00783,3,2018,6,R&D
E00784,3,2025,2,Marketing
E00785,5,2025,3,R&D
E00786,2,2024,2,Sales
E00787,5,2023,4,Sales
E00788,2,2019,5,R&D
E00789,3,2019,1,Marketing
E00790,3,2024,4,Operations
E00791,3,2021,6,Marketing
E00792,5,2021,1,R&D
E00793,2,2020,6,HR
E00794,5,2021,1,R&D
E00795,4,2020,1,Finance
E00796,3,2017,2,Finance
E00797,2,2021,1,HR
E00798,5,2017,3,Marketing
E00799,3,2018,2,Sales
E00800,3,2021,4,Sales
E00801,4,2017,2,HR
E00802,3,2023,4,Sales
E00803,5,2022,5,R&D
E00804,2,2017,1,IT
E00805,5,2023,3,R&D
E00806,3,2020,6,Marketing
E00807,1,2024,4,HR
E00808,5,2021,2,R&D
E00809,4,2024,5,HR
E00810,4,2023,2,Finance
E00811,2,2023,5,Sales
E00812,3,2024,1,Sales
E00813,4,2021,3,Marketing
E00814,3,2017,1,Operations
E00815,2,2025,4,Operations
E00816,4,2019,2,Finance
E00817,4,2021,4,R&D
E00818,2,2022,5,HR
E00819,2,2017,6,Operations
E00820,4,2017,4,Finance
E00821,1,2022,4,R&D
E00822,5,2020,2,Sales
E00823,2,2024,5,Operations
E00824,1,2022,6,IT
E00825,3,2017,6,IT
E00826,3,2017,4,R&D
E00827,1,2020,1,Operations
E00828,4,2021,3,Sales
E00829,4,2021,1,HR
E00830,1,2025,4,Marketing
E00831,5,2018,6,R&D
E00832,3,2020,4,Marketing
E00833,5,2018,1,HR
E00834,5,2018,4,Marketing
E00835,4,2017,6,IT
E00836,4,2021,3,R&D
E00837,1,2023,1,Finance
E00838,4,2023,1,IT
E00839,4,2021,5,Marketing
E00840,2,2017,2,Finance
E00841,5,2020,6,R&D
E00842,4,2024,2,Sales
E00843,4,2017,5,Sales
E00844,5,2025,6,IT
E00845,4,2020,4,Marketing
E00846,1,2024,5,IT
E00847,4,2022,1,R&D
E00848,4,2019,5,Operations
E00849,2,2020,4,R&D
E00850,1,2023,6,R&D
E00851,3,2022,5,Finance
E00852,1,2020,5,Sales
E00853,5,2021,3,Finance
E00854,4,2024,5,Sales
E00855,1,2020,5,Sales
E00856,1,2019,6,R&D
E00857,1,2020,1,Sales
E00858,4,2022,2,HR
E00859,4,2024,5,Sales
E00860,5,2018,4,HR
E00861,1,2019,2,HR
E00862,5,2021,6,R&D
E00863,4,2024,3,IT
E00864,4,2020,5,Operations
E00865,5,2021,3,IT
E00866,2,2017,3,Operations
E00867,1,2017,2,Operations
E00868,1,2024,3,R&D
E00869,5,2025,4,R&D
E00870,5,2020,3,HR
E00871,4,2018,2,Operations
E00872,5,2025,4,Marketing
E00873,4,2024,5,Sales
E00874,2,2024,2,Finance
E00875,4,2018,5,R&D
E00876,3,2021,1,Operations
E00877,2,2019,2,Sales
E00878,5,2021,3,IT
E00879,4,2024,4,HR
E00880,5,2017,5,HR
E00881,3,2025,1,HR
E00882,5,2025,2,Operations
E00883,3,2020,1,Operations
E00884,4,2017,4,Sales
E00885,3,2023,2,HR
E00886,2,2021,5,IT
E00887,4,2018,5,Finance
E00888,4,2025,3,Marketing
E00889,1,2024,1,IT
E00890,1,2020,1,R&D
E00891,5,2020,3,Sales
E00892,5,2024,2,Operations
E00893,1,2017,5,Sales
E00894,2,2025,6,Operations
E00895,4,2018,5,Finance
E00896,3,2022,4,Operations
E00897,1,2019,2,Marketing
E00898,4,2023,1,Marketing
E00899,3,2023,6,Sales
E00900,2,2024,6,Marketing
E00901,2,2020,3,R&D
E00902,1,2021,4,IT
E00903,5,2019,5,Marketing
E00904,2,2025,1,Finance
E00905,5,2024,1,Sales
E00906,4,2021,6,R&D
E00907,2,2017,4,Operations
E00908,2,2023,3,Operations
E00909,1,2017,3,Finance
E00910,3,2017,5,Sales
E00911,1,2024,1,Sales
E00912,1,2019,1,IT
E00913,3,2023,5,IT
E00914,5,2017,4,Operations
E00915,1,2024,4,Marketing
E00916,1,2020,1,Operations
E00917,5,2024,3,R&D
E00918,4,2025,1,Finance
E00919,3,2021,2,Operations
E00920,4,2022,6,Operations
E00921,4,2022,1,R&D
E00922,4,2020,3,HR
E00923,4,2020,2,Finance
E00924,5,2018,3,Sales
E00925,2,2021,6,Marketing
E00926,2,2021,2,HR
E00927,1,2022,2,Sales
E00928,1,2018,3,Marketing
E00929,3,2023,2,Sales
E00930,2,2022,5,Sales
E00931,4,2020,3,R&D
E00932,5,2022,5,Sales
E00933,4,2024,3,Marketing
E00934,2,2023,5,Marketing
E00935,1,2019,5,Marketing
E00936,4,2024,3,Marketing
