Employee_ID,Experience_Years,Department,Job_Level
E00597,8,R&D,2
E00598,8,Operations,6
E00599,8,Marketing,4
E00600,1,Sales,5
E00601,8,IT,1
E00602,8,Sales,4
E00603,7,Finance,6
E00604,4,Marketing,1
E00605,9,R&D,1
E00606,4,Marketing,1
E00607,8,Marketing,3
E00608,9,Marketing,6
E00609,5,Operations,4
E00610,5,Finance,1
E00611,9,R&D,6
E00612,5,Operations,1
E00613,6,Sales,1
E00614,10,Finance,1
E00615,0,Marketing,2
E00616,6,Operations,2
E00617,10,Finance,6
E00618,1,Marketing,2
E00619,9,R&D,3
E00620,6,Sales,5
E00621,1,Marketing,2
E00622,1,Sales,3
E00623,3,Operations,6
E00624,0,IT,1
E00625,10,HR,5
E00626,10,HR,5
E00627,3,HR,3
E00628,3,Marketing,5
E00629,2,Operations,6
E00630,4,Finance,1
E00631,10,IT,3
E00632,2,Marketing,3
E00633,3,IT,5
E00634,5,R&D,5
E00635,10,R&D,5
E00636,10,IT,5
E00637,5,Finance,3
E00638,2,HR,1
E00639,1,Finance,1
E00640,9,IT,6
E00641,1,R&D,5
E00642,8,Sales,4
E00643,5,Finance,2
E00644,5,IT,4
E00645,4,Operations,5
E00646,3,IT,3
E00647,5,Finance,4
E00648,1,Finance,6
E00649,6,IT,4
E00650,9,HR,6
E00651,3,HR,5
E00652,1,HR,5
E00653,2,HR,1
E00654,4,Finance,6
E00655,3,Operations,6
E00656,10,Sales,2
E00657,1,Finance,4
E00658,5,Marketing,4
E00659,1,Operations,4
E00660,8,Operations,6
E00661,7,IT,5
E00662,10,Operations,3
E00663,6,HR,3
E00664,10,Marketing,2
E00665,6,IT,5
E00666,8,IT,1
E00667,3,HR,6
E00668,4,Sales,4
E00669,8,HR,1
E00670,0,Sales,2
E00671,3,Sales,1
E00672,1,Operations,3
E00673,4,Sales,3
E00674,2,R&D,2
E00675,7,IT,4
E00676,0,Operations,1
E00677,0,Sales,2
E00678,0,Finance,3
E00679,8,R&D,3
E00680,8,HR,3
E00681,8,Finance,4
E00682,9,R&D,1
E00683,6,R&D,1
E00684,4,Sales,4
E00685,1,Marketing,4
E00686,5,IT,6
E00687,10,R&D,2
E00688,9,R&D,3
E00689,7,Finance,6
E00690,10,Operations,4
E00691,3,Finance,6
E00692,3,IT,6
E00693,0,R&D,1
E00694,3,IT,1
E00695,5,Marketing,6
E00696,6,Finance,1
E00697,9,Finance,1
E00698,8,Marketing,1
E00699,7,Sales,4
E00700,3,R&D,5
E00701,9,IT,2
E00702,6,Finance,6
E00703,6,R&D,1
E00704,8,R&D,5
E00705,1,Finance,4
E00706,4,HR,1
E00707,8,Operations,1
E00708,6,R&D,6
E00709,4,IT,4
E00710,4,Operations,2
E00711,4,Sales,3
E00712,1,Operations,5
E00713,4,R&D,5
E00714,4,Finance,5
E00715,0,R&D,1
E00716,8,Sales,6
E00717,2,IT,6
E00718,10,Sales,1
E00719,5,HR,5
E00720,7,Sales,2
E00721,6,HR,5
E00722,0,Sales,4
E00723,3,R&D,1
E00724,3,HR,6
E00725,0,Marketing,4
E00726,5,R&D,4
E00727,3,R&D,5
E00728,10,Finance,3
E00729,8,Finance,6
E00730,10,HR,2
E00731,9,Operations,5
E00732,2,HR,1
E00733,5,R&D,5
E00734,4,Operations,3
E00735,1,HR,5
E00736,2,Operations,4
E00737,4,Operations,6
E00738,2,HR,3
E00739,1,Marketing,4
E00740,1,Sales,3
E00741,3,HR,2
E00742,6,HR,4
E00743,8,Marketing,1
E00744,10,Finance,6
E00745,9,Operations,3
E00746,3,Operations,2
E00747,10,HR,4
E00748,1,Sales,2
E00749,9,Sales,3
E00750,4,Operations,3
E00751,1,Operations,2
E00752,3,Sales,1
E00753,8,HR,6
E00754,7,R&D,1
E00755,9,Finance,4
E00756,10,Sales,5
E00757,1,R&D,1
E00758,5,Sales,3
E00759,2,IT,5
E00760,5,IT,5
E00761,7,Sales,4
E00762,3,Marketing,5
E00763,6,HR,1
E00764,9,Marketing,4
E00765,4,R&D,6
E00766,8,Marketing,5
E00767,6,Sales,6
E00768,3,Marketing,5
E00769,0,HR,4
E00770,4,Marketing,1
E00771,3,Operations,1
E00772,2,Operations,5
E00773,3,Marketing,4
E00774,9,HR,4
E00775,2,Marketing,5
E00776,10,HR,1
E00777,4,IT,3
E00778,6,HR,1
E00779,2,R&D,4
E00780,4,IT,4
E00781,2,R&D,3
E00782,2,Marketing,4
E00783,9,R&D,6
E00784,9,Marketing,2
E00785,4,R&D,3
E00786,0,Sales,2
E00787,0,Sales,4
E00788,5,R&D,5
E00789,4,Marketing,1
E00790,9,Operations,4
E00791,7,Marketing,6
E00792,10,R&D,1
E00793,4,HR,6
E00794,0,R&D,1
E00795,5,Finance,1
E00796,6,Finance,2
E00797,2,HR,1
E00798,10,Marketing,3
E00799,2,Sales,2
E00800,4,Sales,4
E00801,0,HR,2
E00802,4,Sales,4
E00803,5,R&D,5
E00804,0,IT,1
E00805,9,R&D,3
E00806,6,Marketing,6
E00807,1,HR,4
E00808,4,R&D,2
E00809,10,HR,5
E00810,6,Finance,2
E00811,6,Sales,5
E00812,6,Sales,1
E00813,0,Marketing,3
E00814,7,Operations,1
E00815,4,Operations,4
E00816,3,Finance,2
E00817,6,R&D,4
E00818,2,HR,5
E00819,10,Operations,6
E00820,9,Finance,4
E00821,3,R&D,4
E00822,2,Sales,2
E00823,4,Operations,5
E00824,4,IT,6
E00825,3,IT,6
E00826,1,R&D,4
E00827,6,Operations,1
E00828,9,Sales,3
E00829,2,HR,1
E00830,1,Marketing,4
E00831,3,R&D,6
E00832,8,Marketing,4
E00833,9,HR,1
E00834,6,Marketing,4
E00835,8,IT,6
E00836,3,R&D,3
E00837,6,Finance,1
E00838,8,IT,1
E00839,0,Marketing,5
E00840,10,Finance,2
E00841,4,R&D,6
E00842,4,Sales,2
E00843,7,Sales,5
E00844,4,IT,6
E00845,1,Marketing,4
E00846,2,IT,5
E00847,6,R&D,1
E00848,1,Operations,5
E00849,3,R&D,4
E00850,8,R&D,6
E00851,10,Finance,5
E00852,9,Sales,5
E00853,5,Finance,3
E00854,10,Sales,5
E00855,2,Sales,5
E00856,2,R&D,6
E00857,3,Sales,1
E00858,6,HR,2
E00859,7,Sales,5
E00860,10,HR,4
E00861,10,HR,2
E00862,6,R&D,6
E00863,1,IT,3
E00864,5,Operations,5
E00865,8,IT,3
E00866,5,Operations,3
E00867,4,Operations,2
E00868,10,R&D,3
E00869,7,R&D,4
E00870,0,HR,3
E00871,3,Operations,2
E00872,3,Marketing,4
E00873,0,Sales,5
E00874,3,Finance,2
E00875,9,R&D,5
E00876,8,Operations,1
E00877,4,Sales,2
E00878,10,IT,3
E00879,1,HR,4
E00880,4,HR,5
E00881,10,HR,1
E00882,1,Operations,2
E00883,8,Operations,1
E00884,2,Sales,4
E00885,10,HR,2
E00886,6,IT,5
E00887,8,Finance,5
E00888,9,Marketing,3
E00889,3,IT,1
E00890,2,R&D,1
E00891,4,Sales,3
E00892,4,Operations,2
E00893,0,Sales,5
E00894,5,Operations,6
E00895,9,Finance,5
E00896,1,Operations,4
E00897,5,Marketing,2
E00898,4,Marketing,1
E00899,2,Sales,6
E00900,9,Marketing,6
E00901,7,R&D,3
E00902,7,IT,4
E00903,0,Marketing,5
E00904,6,Finance,1
E00905,1,Sales,1
E00906,5,R&D,6
E00907,2,Operations,4
E00908,4,Operations,3
E00909,9,Finance,3
E00910,6,Sales,5
E00911,1,Sales,1
E00912,5,IT,1
E00913,9,IT,5
E00914,1,Operations,4
E00915,5,Marketing,4
E00916,10,Operations,1
E00917,4,R&D,3
E00918,8,Finance,1
E00919,3,Operations,2
E00920,10,Operations,6
E00921,7,R&D,1
E00922,5,HR,3
E00923,1,Finance,2
E00924,9,Sales,3
E00925,5,Marketing,6
E00926,2,HR,2
E00927,0,Sales,2
E00928,0,Marketing,3
E00929,4,Sales,2
E00930,2,Sales,5
E00931,2,R&D,3
E00932,8,Sales,5
E00933,2,Marketing,3
E00934,7,Marketing,5
E00935,5,Marketing,5
E00936,1,Marketing,3
E00937,6,HR,4
E00938,6,R&D,3
E00939,5,Finance,1
E00940,7,R&D,6
E00941,4,Sales,3
E00942,7,Operations,2
E00943,5,Sales,4
E00944,2,Marketing,4
E00945,4,Sales,3
E00946,8,Operations,5
E00947,9,Operations,2
E00948,10,IT,5
E00949,7,Finance,4
E00950,4,IT,3
E00951,7,IT,2
E00952,0,HR,2
E00953,7,IT,4
E00954,6,Operations,6
E00955,7,Operations,2
E00956,7,Operations,4
E00957,3,R&D,6
E00958,4,Sales,5
E00959,4,Marketing,1
E00960,5,IT,1
E00961,3,IT,6
E00962,4,Finance,1
E00963,7,Finance,1
E00964,1,R&D,4
E00965,10,IT,4
E00966,8,Sales,6
E00967,9,Finance,4
E00968,7,R&D,1
E00969,1,IT,4
E00970,0,HR,5
E00971,9,Sales,3
E00972,1,R&D,2
E00973,4,Sales,3
E00974,8,HR,3
E00975,5,R&D,2
E00976,5,Sales,1
E00977,1,Finance,6
E00978,9,R&D,1
E00979,7,IT,5
E00980,1,Finance,4
E00981,3,HR,4
E00982,9,IT,4
E00983,3,R&D,3
E00984,3,Marketing,3
E00985,4,Marketing,4
E00986,7,IT,5
E00987,10,Marketing,6
E00988,0,IT,3
E00989,10,Finance,5
E00990,6,Marketing,4
E00991,9,R&D,6
E00992,10,Finance,4
E00993,4,Sales,4
E00994,3,Finance,2
E00995,6,IT,2
E00996,4,Finance,3
E00997,10,R&D,1
E00998,1,Operations,1
E00999,0,Operations,3
E01000,5,Marketing,5
E01001,1,Marketing,2
E01002,0,Marketing,2
E01003,7,Sales,3
E01004,4,Marketing,6
E01005,10,Sales,6
E01006,7,IT,6
E01007,6,HR,3
E01008,7,R&D,1
E01009,0,R&D,6
E01010,9,HR,3
E01011,6,Marketing,6
E01012,0,Sales,2
E01013,8,Operations,4
E01014,8,Marketing,5
E01015,3,R&D,3
E01016,7,Marketing,3
E01017,10,R&D,3
E01018,2,Sales,4
E01019,10,IT,3
E01020,6,Finance,6
E01021,9,R&D,3
E01022,5,Sales,1
E01023,8,R&D,5
E01024,1,Finance,4
E01025,5,Marketing,6
E01026,3,IT,5
E01027,1,R&D,4
E01028,2,IT,5
E01029,8,R&D,2
E01030,2,Finance,2
E01031,4,HR,5
E01032,3,Operations,3
E01033,0,Operations,6
E01034,1,HR,2
E01035,2,R&D,4
E01036,8,IT,6
E01037,1,HR,6
E01038,2,Finance,3
E01039,6,Sales,2
E01040,3,Operations,3
E01041,8,IT,3
E01042,10,Marketing,2
E01043,0,Operations,3
E01044,6,Marketing,4
E01045,4,R&D,1
E01046,10,Finance,2
E01047,0,Finance,4
E01048,4,Operations,6
E01049,8,Operations,5
E01050,5,HR,2
E01051,2,HR,3
E01052,0,HR,2
E01053,5,Marketing,4
E01054,5,HR,2
E01055,10,Finance,1
E01056,6,HR,2
E01057,9,Marketing,3
E01058,0,Finance,2
E01059,5,Marketing,6
E01060,8,IT,1
E01061,10,Sales,4
E01062,2,Sales,2
E01063,1,Marketing,1
E01064,10,HR,2
E01065,7,Operations,6
E01066,6,R&D,3
E01067,10,IT,1
E01068,8,HR,1
E01069,0,IT,6
E01070,2,Sales,6
E01071,0,Marketing,1
E01072,9,Sales,2
E01073,7,R&D,1
E01074,4,Marketing,6
E01075,4,IT,1
E01076,2,Marketing,5
E01077,1,IT,5
E01078,7,R&D,3
E01079,6,Finance,5
E01080,9,Finance,2
E01081,5,R&D,4
E01082,2,HR,3
E01083,2,HR,6
E01084,3,R&D,4
E01085,8,Marketing,4
E01086,7,Finance,4
E01087,1,R&D,2
E01088,8,Finance,1
E01089,7,Operations,3
E01090,6,Finance,1
E01091,4,Operations,1
E01092,0,HR,3
E01093,9,Finance,3
E01094,2,Operations,2
E01095,5,R&D,5
E01096,8,Sales,1
E01097,9,Marketing,4
E01098,5,Finance,4
E01099,4,HR,6
E01100,9,Operations,2
E01101,7,Sales,2
E01102,5,Marketing,1
E01103,7,Sales,5
E01104,5,R&D,6
E01105,9,HR,1
E01106,4,Operations,3
E01107,1,Finance,6
E01108,2,Sales,6
E01109,9,Finance,2
E01110,2,IT,4
E01111,8,R&D,4
E01112,10,IT,5
E01113,7,Sales,2
E01114,3,Operations,1
E01115,4,Marketing,2
E01116,8,R&D,1
E01117,0,Finance,4
E01118,5,Operations,5
E01119,0,Operations,4
E01120,8,R&D,1
E01121,6,IT,3
E01122,3,R&D,4
E01123,4,Marketing,3
E01124,5,Operations,5
E01125,10,Sales,6
E01126,3,Sales,2
E01127,9,Operations,4
E01128,3,IT,3
E01129,0,Operations,4
E01130,10,Sales,4
E01131,9,Finance,3
E01132,9,R&D,2
E01133,3,Finance,4
E01134,1,Operations,1
E01135,0,Finance,3
E01136,9,R&D,6
E01137,0,Finance,2
E01138,3,HR,5
E01139,2,HR,5
E01140,1,Marketing,2
E01141,9,Operations,1
E01142,10,R&D,5
E01143,3,Operations,1
E01144,10,R&D,6
E01145,0,R&D,3
E01146,5,Sales,5
E01147,10,Marketing,5
E01148,5,Marketing,2
E01149,0,Sales,5
E01150,10,HR,1
E01151,4,R&D,1
E01152,7,Finance,2
E01153,0,IT,6
E01154,6,IT,2
E01155,3,Sales,4
E01156,4,IT,6
E01157,0,IT,6
E01158,10,Marketing,5
E01159,5,Operations,2
E01160,6,R&D,2
E01161,4,HR,6
E01162,4,Finance,6
E01163,5,Marketing,6
E01164,3,Operations,3
E01165,4,Sales,5
E01166,5,IT,6
E01167,5,HR,4
E01168,9,Operations,5
E01169,5,Marketing,4
E01170,1,IT,4
E01171,10,HR,6
E01172,0,Operations,1
E01173,9,HR,3
E01174,0,HR,4
E01175,9,Finance,1
