Employee_ID,Department,Salary,Job_Level,Location
E00103,Operations,83111,3,Sydney
E00104,Marketing,92575,3,Singapore
E00105,HR,182575,6,Toronto
E00106,IT,182854,6,Singapore
E00107,HR,124770,4,Berlin
E00108,IT,118423,4,Sydney
E00109,HR,86135,3,Tokyo
E00110,HR,87573,3,Sydney
E00111,IT,131573,4,London
E00112,IT,183431,6,Sydney
E00113,Finance,57640,2,Toronto
E00114,Sales,30321,1,Tokyo
E00115,Marketing,56423,2,London
E00116,Sales,86348,3,London
E00117,Finance,60227,2,Singapore
E00118,IT,100719,3,Tokyo
E00119,IT,139874,5,Sydney
E00120,IT,86691,3,New York
E00121,R&D,146037,5,Toronto
E00122,Operations,92524,3,Tokyo
E00123,R&D,23998,1,Berlin
E00124,IT,87625,3,Singapore
E00125,Operations,68827,2,London
E00126,Finance,83695,3,Sydney
E00127,Sales,70610,2,Singapore
E00128,R&D,112403,4,New York
E00129,Operations,186334,6,New York
E00130,Marketing,32219,1,Toronto
E00131,HR,175365,6,Sydney
E00132,Operations,103793,4,Sydney
E00133,Finance,88737,3,Tokyo
E00134,R&D,98162,3,Berlin
E00135,Marketing,177799,6,New York
E00136,R&D,127206,4,New York
E00137,HR,35815,1,Berlin
E00138,IT,85092,3,Singapore
E00139,R&D,180995,6,Singapore
E00140,Operations,120349,4,Toronto
E00141,Marketing,120567,4,Tokyo
E00142,Finance,157930,5,Singapore
E00143,Marketing,70665,2,Berlin
E00144,Operations,89241,3,Toronto
E00145,HR,61404,2,London
E00146,Finance,148959,5,Tokyo
E00147,IT,27053,1,Tokyo
E00148,R&D,121785,4,Toronto
E00149,HR,124497,4,New York
E00150,Sales,184064,6,Berlin
E00151,IT,145855,5,Sydney
E00152,HR,63736,2,London
E00153,Sales,149895,5,Sydney
E00154,Marketing,126388,4,New York
E00155,IT,122735,4,Berlin
E00156,Operations,178911,6,Sydney
E00157,Marketing,64127,2,Sydney
E00158,R&D,126527,4,Tokyo
E00159,Marketing,93409,3,Singapore
E00160,Operations,121620,4,Toronto
E00161,Operations,60484,2,Toronto
E00162,IT,145908,5,Berlin
E00163,R&D,144969,5,Tokyo
E00164,Finance,65790,2,London
E00165,Operations,183120,6,New York
E00166,Marketing,119938,4,New York
E00167,Operations,90379,3,London
E00168,Sales,154875,5,Tokyo
E00169,R&D,85872,3,Tokyo
E00170,Sales,92064,3,London
E00171,Marketing,115888,4,New York
E00172,Sales,181224,6,Toronto
E00173,IT,27644,1,New York
E00174,Sales,52759,2,Berlin
E00175,Operations,176407,6,New York
E00176,Operations,61554,2,Tokyo
E00177,Sales,154288,5,Sydney
E00178,R&D,89904,3,New York
E00179,HR,179907,6,Singapore
E00180,R&D,121613,4,Singapore
E00181,Sales,122596,4,Sydney
E00182,Sales,89456,3,Toronto
E00183,HR,123450,4,London
E00184,Marketing,121120,4,New York
E00185,R&D,90488,3,Berlin
E00186,IT,90122,3,Toronto
E00187,Operations,187255,6,Singapore
E00188,Sales,100765,3,Toronto
E00189,HR,34361,1,Tokyo
E00190,IT,190949,6,New York
E00191,R&D,55801,2,Tokyo
E00192,Sales,79380,3,Toronto
E00193,R&D,176204,6,Toronto
E00194,Sales,31708,1,Tokyo
E00195,IT,94752,3,New York
E00196,R&D,115507,4,New York
E00197,Sales,113398,4,London
E00198,Finance,185897,6,Berlin
E00199,Finance,141434,5,Toronto
E00200,R&D,149427,5,London
E00201,Sales,82027,3,Sydney
E00202,R&D,120026,4,Berlin
E00203,Marketing,117749,4,Tokyo
E00204,Sales,114661,4,Berlin
E00205,IT,120601,4,Berlin
E00206,Sales,153558,5,Berlin
E00207,HR,22329,1,Tokyo
E00208,IT,91661,3,New York
E00209,Sales,127755,4,New York
E00210,IT,155896,5,Sydney
E00211,Sales,100303,3,Sydney
E00212,HR,58755,2,Singapore
E00213,Finance,93226,3,Toronto
E00214,Operations,55175,2,Berlin
E00215,Operations,185292,6,Tokyo
E00216,IT,144083,5,Tokyo
E00217,Marketing,148652,5,London
E00218,IT,37511,1,London
E00219,Sales,128143,4,Sydney
E00220,Marketing,51483,2,Berlin
E00221,Finance,91920,3,London
E00222,HR,169662,6,Sydney
E00223,IT,173477,6,Berlin
E00224,Sales,91832,3,Sydney
E00225,R&D,27430,1,London
E00226,Operations,119686,4,London
E00227,IT,25071,1,Singapore
E00228,IT,117348,4,Singapore
E00229,Operations,29464,1,Sydney
E00230,Sales,117231,4,Sydney
E00231,HR,69823,2,Toronto
E00232,Sales,116501,4,Toronto
E00233,Marketing,59438,2,Berlin
E00234,Operations,153070,5,Toronto
E00235,HR,117347,4,London
E00236,Finance,58624,2,Tokyo
E00237,Sales,52424,2,London
E00238,IT,158224,5,New York
E00239,Marketing,182882,6,New York
E00240,Finance,135394,4,Sydney
E00241,R&D,149360,5,London
E00242,Marketing,81967,3,New York
E00243,Sales,116218,4,Tokyo
E00244,Finance,116767,4,Sydney
E00245,Marketing,188435,6,Toronto
E00246,Finance,59960,2,Berlin
E00247,IT,150386,5,New York
E00248,Marketing,157615,5,London
E00249,Sales,84813,3,Toronto
E00250,HR,145621,5,New York
E00251,HR,184630,6,Toronto
E00252,Marketing,143007,5,London
E00253,Operations,116746,4,Tokyo
E00254,Sales,27038,1,Berlin
E00255,R&D,60242,2,Sydney
E00256,Finance,31352,1,Toronto
E00257,HR,88805,3,Singapore
E00258,Operations,117116,4,Tokyo
E00259,Marketing,152504,5,New York
E00260,Marketing,60496,2,Sydney
E00261,R&D,111652,4,Toronto
E00262,Operations,56686,2,Tokyo
E00263,IT,26183,1,Singapore
E00264,Finance,111862,4,Sydney
E00265,IT,151298,5,Sydney
E00266,IT,153192,5,New York
E00267,HR,119669,4,Tokyo
E00268,Sales,26740,1,Toronto
E00269,IT,55697,2,Toronto
E00270,Finance,185031,6,London
E00271,R&D,64178,2,New York
E00272,HR,152649,5,London
E00273,Sales,47641,2,Toronto
E00274,Finance,32885,1,Singapore
E00275,R&D,121855,4,Berlin
E00276,Operations,120432,4,Toronto
E00277,Finance,185838,6,Tokyo
E00278,Marketing,91688,3,Berlin
E00279,IT,27561,1,New York
E00280,Sales,181972,6,New York
E00281,HR,91448,3,Berlin
E00282,HR,64355,2,Berlin
E00283,IT,96006,3,Tokyo
E00284,Operations,49809,2,Toronto
E00285,HR,80646,3,Tokyo
E00286,Sales,30092,1,Sydney
E00287,Marketing,181634,6,London
E00288,Marketing,124147,4,Sydney
E00289,R&D,151178,5,Singapore
E00290,R&D,22607,1,Sydney
E00291,IT,91692,3,New York
E00292,Marketing,183163,6,Tokyo
E00293,IT,180909,6,Singapore
E00294,HR,27703,1,Tokyo
E00295,Sales,184151,6,Berlin
E00296,Finance,150357,5,Berlin
E00297,R&D,62394,2,Sydney
E00298,Sales,35187,1,Toronto
E00299,Finance,28650,1,Tokyo
E00300,Operations,147778,5,Tokyo
E00301,Operations,183784,6,New York
E00302,Marketing,154348,5,Tokyo
E00303,R&D,152067,5,London
E00304,IT,86131,3,Singapore
E00305,Sales,111106,4,Tokyo
E00306,Finance,93271,3,Sydney
E00307,Operations,91399,3,New York
E00308,Marketing,192228,6,New York
E00309,Sales,30546,1,Singapore
E00310,HR,182405,6,Singapore
E00311,HR,86047,3,Sydney
E00312,Sales,69410,2,New York
E00313,R&D,67965,2,Berlin
E00314,R&D,25051,1,Singapore
E00315,Operations,180278,6,New York
E00316,Finance,51537,2,Tokyo
E00317,Finance,119209,4,Sydney
E00318,IT,54939,2,Singapore
E00319,IT,94115,3,Toronto
E00320,HR,173550,6,Toronto
E00321,IT,148321,5,London
E00322,Sales,178702,6,Tokyo
E00323,HR,118771,4,London
E00324,IT,166515,6,Sydney
E00325,R&D,58845,2,Tokyo
E00326,Finance,189244,6,Berlin
E00327,HR,148655,5,London
E00328,IT,132866,4,London
E00329,Marketing,150069,5,Singapore
E00330,Operations,30990,1,New York
E00331,Marketing,117131,4,Toronto
E00332,HR,149836,5,New York
E00333,Marketing,56435,2,Toronto
E00334,R&D,178725,6,Toronto
E00335,Operations,166745,6,Singapore
E00336,Sales,96230,3,Tokyo
E00337,Operations,28286,1,Berlin
E00338,Operations,22962,1,New York
E00339,Sales,174447,6,Toronto
E00340,Operations,34678,1,Berlin
E00341,Marketing,123608,4,New York
E00342,Finance,147377,5,Berlin
E00343,IT,23889,1,Tokyo
E00344,Marketing,178798,6,Singapore
E00345,HR,33554,1,New York
E00346,IT,58195,2,Sydney
E00347,HR,84594,3,Berlin
E00348,Finance,152965,5,Singapore
E00349,HR,61630,2,Singapore
E00350,HR,184620,6,Singapore
E00351,Operations,177386,6,New York
E00352,Operations,146478,5,Toronto
E00353,Sales,52216,2,Singapore
E00354,HR,23597,1,Singapore
E00355,Marketing,49590,2,New York
E00356,R&D,61055,2,Tokyo
E00357,IT,147275,5,Sydney
E00358,IT,119811,4,Berlin
E00359,Sales,90571,3,Tokyo
E00360,Operations,28181,1,London
E00361,Finance,31539,1,London
E00362,Finance,143259,5,London
E00363,Finance,60854,2,Sydney
E00364,Finance,60092,2,Sydney
E00365,R&D,87301,3,London
E00366,R&D,120979,4,Toronto
E00367,Marketing,182041,6,Singapore
E00368,Operations,65145,2,Singapore
E00369,IT,151280,5,Toronto
E00370,HR,38327,1,Toronto
E00371,IT,50795,2,Berlin
E00372,Marketing,116875,4,Toronto
E00373,IT,122588,4,Singapore
E00374,Sales,30933,1,Singapore
E00375,Marketing,176942,6,London
E00376,Marketing,25383,1,Toronto
E00377,Finance,115120,4,London
E00378,IT,145253,5,Tokyo
E00379,R&D,122466,4,Sydney
E00380,Sales,115708,4,Tokyo
E00381,Marketing,57121,2,Berlin
E00382,Operations,72800,2,New York
E00383,Operations,125746,4,New York
E00384,IT,179825,6,Tokyo
E00385,Finance,56865,2,London
E00386,HR,33538,1,Toronto
E00387,Marketing,33162,1,Singapore
E00388,Operations,153109,5,Sydney
E00389,Marketing,116364,4,Berlin
E00390,Finance,149627,5,Sydney
E00391,Marketing,90888,3,Berlin
E00392,Sales,181900,6,Toronto
E00393,R&D,62798,2,New York
E00394,Sales,154169,5,New York
E00395,Operations,59649,2,New York
E00396,HR,62148,2,Toronto
E00397,IT,91357,3,London
E00398,Finance,84594,3,Singapore
E00399,Finance,59802,2,Toronto
E00400,R&D,150141,5,London
E00401,Sales,124691,4,Berlin
E00402,IT,180480,6,Sydney
E00403,IT,27827,1,Tokyo
E00404,Finance,61110,2,Sydney
E00405,Marketing,96278,3,Berlin
E00406,R&D,179065,6,London
E00407,Sales,157234,5,Toronto
E00408,IT,95159,3,London
E00409,HR,31335,1,Tokyo
E00410,Operations,180411,6,New York
E00411,HR,147413,5,Tokyo
E00412,R&D,101494,3,London
E00413,Marketing,27772,1,Singapore
E00414,Marketing,37897,1,New York
E00415,IT,27899,1,Toronto
E00416,Marketing,143277,5,Sydney
E00417,Operations,114979,4,Berlin
E00418,Sales,29826,1,Tokyo
E00419,Operations,37752,1,London
E00420,IT,34921,1,Sydney
E00421,Marketing,149752,5,New York
E00422,R&D,174386,6,New York
E00423,R&D,30832,1,Sydney
E00424,Sales,151445,5,Berlin
E00425,Marketing,176811,6,London
E00426,Sales,26884,1,Sydney
E00427,IT,56813,2,New York
E00428,Sales,37102,1,Singapore
E00429,Operations,175838,6,Berlin
E00430,Marketing,117238,4,Berlin
E00431,R&D,61014,2,New York
E00432,Marketing,97737,3,Singapore
E00433,Marketing,26936,1,Tokyo
E00434,Operations,181429,6,London
E00435,R&D,123292,4,London
E00436,IT,179115,6,New York
E00437,HR,83103,3,London
E00438,IT,119834,4,Tokyo
E00439,R&D,27411,1,New York
E00440,Finance,179917,6,Toronto
E00441,Operations,162634,5,Singapore
E00442,Sales,57552,2,Toronto
E00443,R&D,33409,1,New York
E00444,IT,122919,4,Singapore
E00445,IT,182953,6,Toronto
E00446,Finance,34102,1,Tokyo
E00447,R&D,65333,2,Sydney
E00448,Marketing,186910,6,Sydney
E00449,Finance,149164,5,Tokyo
E00450,Finance,66032,2,London
E00451,R&D,91843,3,Toronto
E00452,Sales,30143,1,Tokyo
E00453,HR,90955,3,Toronto
E00454,HR,113200,4,Singapore
E00455,Finance,183227,6,Sydney
E00456,IT,178461,6,New York
E00457,Operations,151246,5,Toronto
E00458,R&D,29523,1,Sydney
E00459,Operations,93039,3,Singapore
E00460,Operations,177767,6,New York
E00461,HR,65368,2,Sydney
E00462,HR,60664,2,London
E00463,Sales,185975,6,Singapore
E00464,R&D,117205,4,Berlin
E00465,Operations,157827,5,Singapore
E00466,Finance,147224,5,Singapore
E00467,Finance,172759,6,Sydney
E00468,R&D,32200,1,Berlin
E00469,Marketing,174893,6,Tokyo
E00470,R&D,151219,5,Toronto
E00471,HR,23598,1,Sydney
E00472,Finance,183251,6,London
E00473,Operations,159233,5,Singapore
E00474,Marketing,142372,5,Toronto
E00475,Sales,149772,5,Singapore
E00476,Finance,148793,5,Toronto
E00477,IT,83742,3,London
E00478,HR,89589,3,Singapore
E00479,R&D,91713,3,Toronto
E00480,Finance,152848,5,Toronto
E00481,R&D,33213,1,Toronto
E00482,IT,90982,3,Sydney
E00483,Sales,179551,6,Sydney
E00484,Operations,176618,6,New York
E00485,Finance,149799,5,Sydney
E00486,IT,90640,3,Berlin
E00487,Marketing,34203,1,New York
E00488,Operations,57769,2,Sydney
E00489,Marketing,147738,5,London
E00490,IT,52080,2,Sydney
E00491,Operations,33929,1,Toronto
E00492,Finance,55165,2,Sydney
E00493,Finance,59981,2,New York
E00494,Finance,157516,5,Tokyo
E00495,Finance,178895,6,Toronto
E00496,Finance,31041,1,New York
E00497,IT,118764,4,London
E00498,Marketing,54991,2,Toronto
E00499,Sales,188988,6,New York
E00500,HR,57144,2,Tokyo
E00501,IT,186996,6,Toronto
E00502,Finance,90298,3,Toronto
E00503,HR,93491,3,Sydney
E00504,Operations,124475,4,Sydney
E00505,Finance,185247,6,Tokyo
E00506,R&D,36586,1,New York
E00507,Finance,40376,1,Berlin
E00508,Operations,68679,2,New York
E00509,Operations,56742,2,Toronto
E00510,Sales,88398,3,Tokyo
E00511,Operations,182614,6,Berlin
E00512,Marketing,149878,5,Tokyo
E00513,HR,158637,5,New York
E00514,Operations,60190,2,Tokyo
E00515,HR,123067,4,New York
E00516,Operations,178713,6,New York
E00517,Finance,91996,3,Tokyo
E00518,R&D,57584,2,London
E00519,IT,173871,6,New York
E00520,Sales,121122,4,Berlin
E00521,Sales,128419,4,Tokyo
E00522,R&D,125393,4,Sydney
E00523,Operations,89136,3,Singapore
E00524,Finance,123261,4,Tokyo
E00525,Marketing,157382,5,London
E00526,Marketing,116872,4,Singapore
E00527,Marketing,62470,2,Tokyo
E00528,Sales,27248,1,Sydney
E00529,Sales,29872,1,Toronto
E00530,HR,122718,4,New York
E00531,R&D,153858,5,Toronto
E00532,Marketing,95743,3,Sydney
E00533,Operations,118187,4,Sydney
E00534,R&D,83526,3,Tokyo
E00535,Finance,27661,1,Singapore
E00536,IT,29765,1,New York
E00537,R&D,90384,3,Tokyo
E00538,Sales,34981,1,London
E00539,HR,112217,4,Sydney
E00540,Marketing,67503,2,Sydney
E00541,IT,148256,5,New York
E00542,HR,118391,4,New York
E00543,Marketing,61909,2,London
E00544,R&D,155151,5,Toronto
E00545,Marketing,118704,4,Sydney
E00546,Operations,59641,2,New York
E00547,Finance,123638,4,New York
E00548,Sales,93663,3,New York
E00549,Sales,120393,4,Berlin
E00550,R&D,64581,2,New York
E00551,HR,64990,2,Berlin
E00552,HR,190441,6,New York
E00553,IT,65540,2,Tokyo
E00554,Finance,123063,4,London
E00555,Finance,146881,5,Toronto
E00556,R&D,29046,1,London
E00557,Marketing,94350,3,Sydney
E00558,Sales,60752,2,Sydney
E00559,Sales,162017,5,Toronto
E00560,R&D,181005,6,New York
E00561,R&D,35527,1,Berlin
E00562,Finance,123193,4,New York
E00563,Finance,188167,6,Sydney
E00564,Sales,31513,1,Toronto
E00565,HR,29679,1,Sydney
E00566,Finance,151606,5,London
E00567,R&D,188068,6,New York
E00568,Operations,148779,5,Tokyo
E00569,Sales,125947,4,Berlin
E00570,Sales,182987,6,Sydney
E00571,IT,148512,5,Berlin
E00572,IT,179249,6,Singapore
E00573,Marketing,59134,2,Berlin
E00574,Sales,24518,1,Berlin
E00575,Finance,187972,6,Tokyo
E00576,IT,25043,1,Singapore
E00577,R&D,146805,5,Toronto
E00578,IT,158210,5,Berlin
E00579,R&D,116559,4,Tokyo
E00580,Finance,94908,3,London
E00581,IT,137502,5,Tokyo
E00582,Marketing,143052,5,Toronto
E00583,HR,125112,4,Singapore
E00584,HR,66921,2,Berlin
E00585,Operations,122973,4,Singapore
E00586,R&D,63794,2,New York
E00587,HR,180521,6,London
E00588,R&D,26230,1,Toronto
E00589,IT,51535,2,Berlin
E00590,HR,175057,6,Toronto
E00591,Marketing,150899,5,Singapore
E00592,Operations,94591,3,Berlin
E00593,R&D,55051,2,Berlin
E00594,HR,55087,2,London
E00595,Operations,182750,6,Singapore
E00596,Finance,180526,6,London
E00597,R&D,56993,2,Sydney
E00598,Operations,172035,6,Sydney
E00599,Marketing,119901,4,Berlin
E00600,Sales,151119,5,Sydney
E00601,IT,30626,1,Berlin
E00602,Sales,120611,4,Tokyo
E00603,Finance,180244,6,Toronto
E00604,Marketing,26490,1,Singapore
E00605,R&D,22986,1,Singapore
E00606,Marketing,23780,1,Toronto
E00607,Marketing,86407,3,Berlin
E00608,Marketing,178525,6,Singapore
E00609,Operations,116632,4,London
E00610,Finance,25823,1,Tokyo
E00611,R&D,174062,6,Tokyo
E00612,Operations,33168,1,Tokyo
E00613,Sales,29073,1,Toronto
E00614,Finance,30219,1,London
E00615,Marketing,64819,2,London
E00616,Operations,57212,2,New York
E00617,Finance,179558,6,New York
E00618,Marketing,55981,2,London
E00619,R&D,98388,3,Sydney
E00620,Sales,152844,5,Tokyo
E00621,Marketing,58104,2,Sydney
E00622,Sales,87091,3,Berlin
E00623,Operations,176753,6,Toronto
E00624,IT,30170,1,New York
E00625,HR,151168,5,Berlin
E00626,HR,151654,5,Sydney
E00627,HR,80031,3,Singapore
E00628,Marketing,156138,5,Singapore
E00629,Operations,188362,6,Toronto
E00630,Finance,26474,1,Berlin
E00631,IT,92791,3,Singapore
E00632,Marketing,92693,3,Singapore
E00633,IT,150846,5,Tokyo
E00634,R&D,149443,5,Singapore
E00635,R&D,146322,5,Singapore
E00636,IT,155456,5,New York
E00637,Finance,84538,3,Berlin
E00638,HR,36065,1,New York
E00639,Finance,41596,1,London
E00640,IT,180960,6,Tokyo
E00641,R&D,150667,5,Sydney
E00642,Sales,123540,4,Singapore
E00643,Finance,56070,2,London
E00644,IT,110818,4,New York
E00645,Operations,144483,5,London
E00646,IT,91942,3,Singapore
E00647,Finance,119969,4,Tokyo
E00648,Finance,180409,6,London
E00649,IT,124595,4,Singapore
E00650,HR,181336,6,Tokyo
E00651,HR,146659,5,Tokyo
E00652,HR,149125,5,New York
E00653,HR,32682,1,Sydney
E00654,Finance,180140,6,Tokyo
E00655,Operations,185429,6,London
E00656,Sales,59874,2,Toronto
E00657,Finance,126951,4,Toronto
E00658,Marketing,120051,4,Sydney
E00659,Operations,114674,4,Berlin
E00660,Operations,176952,6,Tokyo
E00661,IT,150283,5,Sydney
E00662,Operations,89647,3,New York
E00663,HR,90322,3,Tokyo
E00664,Marketing,55303,2,Sydney
E00665,IT,143951,5,London
E00666,IT,37653,1,Toronto
E00667,HR,178932,6,Singapore
E00668,Sales,120743,4,London
E00669,HR,26932,1,Singapore
E00670,Sales,58059,2,Sydney
E00671,Sales,30802,1,Tokyo
E00672,Operations,92184,3,Toronto
E00673,Sales,94747,3,New York
E00674,R&D,47230,2,Toronto
E00675,IT,113165,4,Toronto
E00676,Operations,24149,1,New York
E00677,Sales,62707,2,Sydney
E00678,Finance,87117,3,Berlin
E00679,R&D,87268,3,Singapore
E00680,HR,82605,3,New York
E00681,Finance,119923,4,Toronto
E00682,R&D,30597,1,Berlin
E00683,R&D,35982,1,New York
E00684,Sales,119863,4,Tokyo
E00685,Marketing,117783,4,Toronto
E00686,IT,179135,6,Toronto
E00687,R&D,53140,2,London
E00688,R&D,97355,3,Toronto
E00689,Finance,176654,6,New York
E00690,Operations,116971,4,Singapore
E00691,Finance,183389,6,Singapore
E00692,IT,190786,6,New York
E00693,R&D,33710,1,London
E00694,IT,36508,1,Singapore
E00695,Marketing,180160,6,Berlin
E00696,Finance,32299,1,Berlin
E00697,Finance,40066,1,Sydney
E00698,Marketing,28173,1,New York
E00699,Sales,113264,4,Singapore
E00700,R&D,156002,5,New York
E00701,IT,54765,2,Sydney
E00702,Finance,185928,6,Tokyo
E00703,R&D,34980,1,New York
E00704,R&D,142890,5,New York
E00705,Finance,118386,4,Toronto
E00706,HR,36640,1,London
E00707,Operations,32279,1,Tokyo
E00708,R&D,176782,6,London
E00709,IT,120285,4,Singapore
E00710,Operations,67642,2,Singapore
E00711,Sales,92691,3,Tokyo
E00712,Operations,148175,5,London
E00713,R&D,144775,5,Singapore
E00714,Finance,160281,5,New York
E00715,R&D,28893,1,New York
E00716,Sales,181537,6,London
E00717,IT,184302,6,Tokyo
E00718,Sales,29164,1,Toronto
E00719,HR,148756,5,Tokyo
E00720,Sales,62454,2,London
E00721,HR,153314,5,Berlin
E00722,Sales,120905,4,New York
E00723,R&D,31998,1,Singapore
E00724,HR,177356,6,New York
E00725,Marketing,126191,4,Berlin
E00726,R&D,121544,4,Berlin
E00727,R&D,151203,5,Sydney
E00728,Finance,92827,3,Tokyo
E00729,Finance,183766,6,London
E00730,HR,66448,2,London
E00731,Operations,149307,5,London
E00732,HR,28954,1,London
E00733,R&D,147097,5,London
E00734,Operations,98349,3,New York
E00735,HR,144020,5,New York
E00736,Operations,125983,4,Singapore
E00737,Operations,179329,6,New York
E00738,HR,86075,3,Berlin
E00739,Marketing,119395,4,Toronto
E00740,Sales,85562,3,Sydney
E00741,HR,63611,2,Tokyo
E00742,HR,128634,4,Sydney
E00743,Marketing,31123,1,London
E00744,Finance,172908,6,Tokyo
E00745,Operations,82371,3,Tokyo
E00746,Operations,57240,2,New York
E00747,HR,117178,4,Berlin
E00748,Sales,67710,2,Toronto
E00749,Sales,100307,3,Berlin
E00750,Operations,95120,3,Berlin
E00751,Operations,63891,2,London
E00752,Sales,25909,1,Singapore
E00753,HR,179149,6,Berlin
E00754,R&D,33481,1,Berlin
E00755,Finance,120442,4,New York
E00756,Sales,144291,5,Toronto
E00757,R&D,26415,1,New York
E00758,Sales,89586,3,Toronto
E00759,IT,157567,5,New York
E00760,IT,144879,5,London
E00761,Sales,126105,4,Berlin
E00762,Marketing,148867,5,New York
E00763,HR,28138,1,Tokyo
E00764,Marketing,129422,4,Berlin
E00765,R&D,177555,6,Tokyo
E00766,Marketing,150704,5,Toronto
E00767,Sales,181615,6,Tokyo
E00768,Marketing,147669,5,Toronto
E00769,HR,122568,4,Tokyo
E00770,Marketing,24150,1,Toronto
E00771,Operations,29862,1,New York
E00772,Operations,158306,5,Berlin
E00773,Marketing,116988,4,Berlin
E00774,HR,115008,4,Toronto
E00775,Marketing,153830,5,Tokyo
E00776,HR,29499,1,New York
E00777,IT,85610,3,Tokyo
E00778,HR,28867,1,Sydney
E00779,R&D,124567,4,Singapore
E00780,IT,127463,4,Berlin
E00781,R&D,89893,3,London
E00782,Marketing,107878,4,London
E00783,R&D,183684,6,New York
E00784,Marketing,60334,2,Tokyo
E00785,R&D,82187,3,Sydney
E00786,Sales,63971,2,Sydney
E00787,Sales,121467,4,Toronto
E00788,R&D,152332,5,New York
E00789,Marketing,21924,1,Berlin
E00790,Operations,116327,4,London
E00791,Marketing,181002,6,Tokyo
E00792,R&D,24920,1,Singapore
E00793,HR,182144,6,Toronto
E00794,R&D,30882,1,Sydney
E00795,Finance,25862,1,Sydney
E00796,Finance,54639,2,New York
E00797,HR,32182,1,Toronto
E00798,Marketing,78185,3,Toronto
E00799,Sales,63095,2,Toronto
E00800,Sales,120103,4,Tokyo
E00801,HR,59085,2,London
E00802,Sales,116770,4,Singapore
E00803,R&D,147586,5,Berlin
E00804,IT,30613,1,Singapore
E00805,R&D,91615,3,Berlin
E00806,Marketing,178540,6,Singapore
